hour,wind_kw,pv_kw,price_grid,price_mg,load_mg1_kw,load_mg2_kw,load_mg3_kw
1,51.48,0,8.65,4.33,457.70,110.50,124.71
2,38.37,0,8.11,4.06,336.50,109.85,123.98
3,43.56,0,8.25,4.13,274.90,112.45,126.91
4,40.75,0,8.10,4.05,272.60,110.50,124.71
5,27.74,0,8.14,4.07,245.30,113.75,128.38
6,30.15,0,8.13,4.07,233.70,120.25,135.43
7,28.65,0.16,8.34,4.17,274.60,130.00,146.72
8,23.38,1.77,9.35,4.68,291.00,157.95,178.26
9,21.75,5.30,12.00,6.00,315.70,165.10,186.33
10,34.82,11.60,9.19,4.60,362.40,169.00,190.73
11,27.17,36.64,12.30,6.15,320.00,173.55,195.87
12,30.20,42.68,20.70,10.35,350.00,168.35,190.00
13,23.52,35.22,26.82,13.41,345.20,168.35,190.00
14,39.48,35.46,27.35,13.68,320.60,165.75,187.07
15,35.74,34.83,13.81,6.91,333.20,170.30,192.20
16,18.06,23.62,17.31,8.66,316.80,172.25,194.40
17,24.27,14.18,16.42,8.21,291.30,165.75,187.07
18,26.26,4.67,9.83,4.92,413.80,164.25,185.60
19,26.77,0.18,8.63,4.32,539.80,162.50,183.40
20,26.22,0,8.87,4.44,557.20,165.75,187.07
21,32.84,0,8.35,4.18,557.10,169.00,190.73
22,36.02,0,16.44,8.22,535.00,161.20,181.93
23,37.23,0,16.19,8.10,437.80,148.00,161.39
24,44.12,0,8.87,4.44,447.30,119.60,134.98
