mg,battery_plot_to_discharge_sign,loss,rmse_kw,maximum_error_kw,within_reading_error_hours
1,1,0.02,5.523332086730513,13.140274711203347,6
1,1,0.01,5.6338633673856835,14.96477919854766,6
1,1,0.0,6.269279164452449,16.78928368589203,4
1,-1,0.02,2.2181907483067476,3.735309013540075,8
1,-1,0.01,0.8962782015353977,1.785609868344352,22
1,-1,0.0,1.7069484234481844,3.4256992114120095,17
2,1,0.02,9.934866323484384,48.20502426758229,19
2,1,0.01,10.205047075770377,49.95707329674862,23
2,1,0.0,10.711022887752085,51.70912232591495,7
2,-1,0.02,1.6093052268895311,2.307425087548495,12
2,-1,0.01,0.22666466876627542,0.5572757258984229,24
2,-1,0.0,1.5852764909409542,1.9913574379682721,17
3,1,0.02,9.905094319236559,47.76091112023641,7
3,1,0.01,10.16404199634846,49.781348120377764,23
3,1,0.0,10.715600246641896,51.80178512051912,7
3,-1,0.02,1.7811714383808184,2.575201218327937,8
3,-1,0.01,0.2563165722066999,0.6350588946764795,24
3,-1,0.0,1.7692162529651245,2.112993731791299,9
