battery_plot_to_discharge_sign,eta,soc_min,soc_max,robust_to_reading_error,fixed_initial_soc,feasible,minimum_capacity_kwh,initial_soc_at_minimum
1,1.0,0.0,1.0,False,,True,28.223383562383496,1.0
1,1.0,0.0,1.0,False,0.3,True,94.07794520794499,0.3
1,1.0,0.0,1.0,False,0.5,True,56.44676712476699,0.5
1,1.0,0.0,1.0,False,0.7,True,40.31911937483357,0.7
1,1.0,0.0,1.0,True,,True,31.914964860555262,1.0
1,1.0,0.0,1.0,True,0.3,True,106.38321620185087,0.3
1,1.0,0.0,1.0,True,0.5,True,63.829929721110524,0.5
1,1.0,0.0,1.0,True,0.7,True,45.59280694365038,0.7
1,1.0,0.1,0.9,False,,True,35.49763345261777,0.9
1,1.0,0.1,0.9,False,0.3,True,144.6775097400675,0.3
1,1.0,0.1,0.9,False,0.5,True,71.43751691067637,0.5
1,1.0,0.1,0.9,False,0.7,True,47.42804926995862,0.6999999999999998
1,1.0,0.1,0.9,True,,True,40.14067703006095,0.9000000000000001
1,1.0,0.1,0.9,True,0.3,True,163.6011369530122,0.3
1,1.0,0.1,0.9,True,0.5,True,80.78144978223922,0.5
1,1.0,0.1,0.9,True,0.7,True,53.63157548100806,0.6999999999999998
1,0.95,0.0,1.0,False,,True,29.730020545684216,1.0
1,0.95,0.0,1.0,False,0.3,True,99.10006848561406,0.3
1,0.95,0.0,1.0,False,0.5,True,59.46004109136843,0.5
1,0.95,0.0,1.0,False,0.7,True,42.471457922406024,0.7
1,0.95,0.0,1.0,True,,True,33.60018955069847,1.0
1,0.95,0.0,1.0,True,0.3,True,112.00063183566157,0.3
1,0.95,0.0,1.0,True,0.5,True,67.20037910139693,0.5
1,0.95,0.0,1.0,True,0.7,True,48.0002707867121,0.7
1,0.95,0.1,0.9,False,,True,37.39258865035843,0.9
1,0.95,0.1,0.9,False,0.3,True,152.4007682340192,0.3
1,0.95,0.1,0.9,False,0.5,True,75.2510357517074,0.5
1,0.95,0.1,0.9,False,0.7,True,49.95988082438524,0.7
1,0.95,0.1,0.9,True,,True,42.26024884553016,0.9
1,0.95,0.1,0.9,True,0.3,True,172.23986416243702,0.30000000000000004
1,0.95,0.1,0.9,True,0.5,True,85.04700026219122,0.5000000000000001
1,0.95,0.1,0.9,True,0.7,True,56.46351515466188,0.6999999999999998
-1,1.0,0.0,1.0,False,,True,26.89936753409656,0.0
-1,1.0,0.0,1.0,False,0.3,True,37.67030075104207,0.3000000000000001
-1,1.0,0.0,1.0,False,0.5,True,51.38801911624379,0.5
-1,1.0,0.0,1.0,False,0.7,True,82.77834343911948,0.7000000000000001
-1,1.0,0.0,1.0,True,,True,30.41776928426338,0.0
-1,1.0,0.0,1.0,True,0.3,True,42.59752634189566,0.3
-1,1.0,0.0,1.0,True,0.5,True,58.109504153652885,0.49999999999999994
-1,1.0,0.0,1.0,True,0.7,True,91.38899775817362,0.7
-1,1.0,0.1,0.9,False,,True,33.42818643485851,0.1
-1,1.0,0.1,0.9,False,0.3,True,43.80479347660242,0.2999999999999999
-1,1.0,0.1,0.9,False,0.5,True,63.52340454006912,0.49999999999999994
-1,1.0,0.1,0.9,False,0.7,True,123.87980492825528,0.7000000000000001
-1,1.0,0.1,0.9,True,,True,37.80054907528961,0.1
-1,1.0,0.1,0.9,True,0.3,True,49.534402614750896,0.29999999999999993
-1,1.0,0.1,0.9,True,0.5,True,71.83218196492989,0.5
-1,1.0,0.1,0.9,True,0.7,True,130.63896311901382,0.6999999999999998
-1,0.95,0.0,1.0,False,,True,25.534197749414876,0.0
-1,0.95,0.0,1.0,False,0.3,True,35.75849534149077,0.30000000000000004
-1,0.95,0.0,1.0,False,0.5,True,48.78002579063057,0.5
-1,0.95,0.0,1.0,False,0.7,True,78.6394262671635,0.7
-1,0.95,0.0,1.0,True,,True,28.891648655384202,0.0
-1,0.95,0.0,1.0,True,0.3,True,40.460322818453086,0.30000000000000004
-1,0.95,0.0,1.0,True,0.5,True,55.19403352219177,0.5
-1,0.95,0.0,1.0,True,0.7,True,86.80382803622767,0.7
-1,0.95,0.1,0.9,False,,True,31.731672566280388,0.1
-1,0.95,0.1,0.9,False,0.3,True,41.58165643062252,0.2999999999999998
-1,0.95,0.1,0.9,False,0.5,True,60.29952827649933,0.5
-1,0.95,0.1,0.9,False,0.7,True,117.6858146818425,0.7
-1,0.95,0.1,0.9,True,,True,35.90401954389481,0.1
-1,0.95,0.1,0.9,True,0.3,True,47.04916206462656,0.2999999999999999
-1,0.95,0.1,0.9,True,0.5,True,68.2282170032127,0.4999999999999999
-1,0.95,0.1,0.9,True,0.7,True,124.08454373710153,0.6999999999999997
