battery_plot_to_discharge_sign,eta,soc_min,soc_max,robust_to_reading_error,capacity_kwh,feasible,initial_soc_low,initial_soc_high
1,1.0,0.0,1.0,False,50,True,0.5644676712476699,1.0
1,1.0,0.0,1.0,False,100,True,0.28223383562383497,1.0
1,1.0,0.0,1.0,False,200,True,0.14111691781191749,1.0
1,1.0,0.0,1.0,False,500,True,0.05644676712476699,1.0
1,1.0,0.0,1.0,True,50,True,0.6382992972111052,1.0
1,1.0,0.0,1.0,True,100,True,0.3191496486055526,1.0
1,1.0,0.0,1.0,True,200,True,0.1595748243027763,1.0
1,1.0,0.0,1.0,True,500,True,0.06382992972111053,1.0
1,1.0,0.1,0.9,False,50,True,0.6693897796452323,0.9
1,1.0,0.1,0.9,False,100,True,0.38715594402139736,0.9
1,1.0,0.1,0.9,False,200,True,0.24603902620947984,0.9
1,1.0,0.1,0.9,False,500,True,0.16136887552232937,0.9
1,1.0,0.1,0.9,True,50,True,0.7432214056086676,0.9
1,1.0,0.1,0.9,True,100,True,0.424071757003115,0.9
1,1.0,0.1,0.9,True,200,True,0.2644969327003387,0.9
1,1.0,0.1,0.9,True,500,True,0.16875203811867295,0.9
1,0.95,0.0,1.0,False,50,True,0.5946004109136843,1.0
1,0.95,0.0,1.0,False,100,True,0.29730020545684216,1.0
1,0.95,0.0,1.0,False,200,True,0.14865010272842108,1.0
1,0.95,0.0,1.0,False,500,True,0.05946004109136843,1.0
1,0.95,0.0,1.0,True,50,True,0.6720037910139693,1.0
1,0.95,0.0,1.0,True,100,True,0.33600189550698467,1.0
1,0.95,0.0,1.0,True,200,True,0.16800094775349234,1.0
1,0.95,0.0,1.0,True,500,True,0.06720037910139694,1.0
1,0.95,0.1,0.9,False,50,True,0.6995225193112466,0.9
1,0.95,0.1,0.9,False,100,True,0.40222231385440455,0.9
1,0.95,0.1,0.9,False,200,True,0.25357221112598344,0.9
1,0.95,0.1,0.9,False,500,True,0.16438214948893085,0.9
1,0.95,0.1,0.9,True,50,True,0.7769258994115318,0.9
1,0.95,0.1,0.9,True,100,True,0.44092400390454706,0.9
1,0.95,0.1,0.9,True,200,True,0.2729230561510547,0.9
1,0.95,0.1,0.9,True,500,True,0.1721224874989593,0.9
-1,1.0,0.0,1.0,False,50,True,0.0,0.48475341272795397
-1,1.0,0.0,1.0,False,100,True,0.0,0.7520100930606152
-1,1.0,0.0,1.0,False,200,True,0.0,0.8770070505383236
-1,1.0,0.0,1.0,False,500,True,0.0,0.9520052250249487
-1,1.0,0.0,1.0,True,50,True,0.0,0.41092178676451874
-1,1.0,0.0,1.0,True,100,True,0.0,0.7300714353700712
-1,1.0,0.0,1.0,True,200,True,0.0,0.8762555475323116
-1,1.0,0.0,1.0,True,500,True,0.0,0.951704623822544
-1,1.0,0.1,0.9,False,50,True,0.1,0.3798313043303916
-1,1.0,0.1,0.9,False,100,True,0.1,0.651809692259012
-1,1.0,0.1,0.9,False,200,True,0.1,0.7768066497367204
-1,1.0,0.1,0.9,False,500,True,0.1,0.8518048242233455
-1,1.0,0.1,0.9,True,50,True,0.1,0.30599967836695635
-1,1.0,0.1,0.9,True,100,True,0.1,0.6251493269725089
-1,1.0,0.1,0.9,True,200,True,0.1,0.7760551467307084
-1,1.0,0.1,0.9,True,500,True,0.1,0.8515042230209406
-1,0.95,0.0,1.0,False,50,True,0.0,0.5134007111538437
-1,0.95,0.0,1.0,False,100,True,0.0,0.7645097888083859
-1,0.95,0.0,1.0,False,200,True,0.0,0.8832568984122091
-1,0.95,0.0,1.0,False,500,True,0.0,0.9545051641745028
-1,0.95,0.0,1.0,True,50,True,0.0,0.44294654557472213
-1,0.95,0.0,1.0,True,100,True,0.0,0.7460838147751729
-1,0.95,0.0,1.0,True,200,True,0.0,0.8825429705564976
-1,0.95,0.0,1.0,True,500,True,0.0,0.9542195930322183
-1,0.95,0.1,0.9,False,50,True,0.1,0.4084786027562813
-1,0.95,0.1,0.9,False,100,True,0.1,0.6643093880067827
-1,0.95,0.1,0.9,False,200,True,0.1,0.7830564976106059
-1,0.95,0.1,0.9,False,500,True,0.1,0.8543047633728996
-1,0.95,0.1,0.9,True,50,True,0.1,0.33802443717715974
-1,0.95,0.1,0.9,True,100,True,0.1,0.6411617063776106
-1,0.95,0.1,0.9,True,200,True,0.1,0.7823425697548945
-1,0.95,0.1,0.9,True,500,True,0.1,0.8540191922306151
