w_cost,w_deviation,phases,reward_tolerance,passes_necessary_bounds
0.01,0.5,[900],0.0,True
0.01,0.5,[900],0.05,True
0.01,0.5,[900],0.2,True
0.01,0.5,[1400],0.0,True
0.01,0.5,[1400],0.05,True
0.01,0.5,[1400],0.2,True
0.01,0.5,"[900, 1400]",0.0,True
0.01,0.5,"[900, 1400]",0.05,True
0.01,0.5,"[900, 1400]",0.2,True
0.02,0.45,[900],0.0,True
0.02,0.45,[900],0.05,True
0.02,0.45,[900],0.2,True
0.02,0.45,[1400],0.0,True
0.02,0.45,[1400],0.05,True
0.02,0.45,[1400],0.2,True
0.02,0.45,"[900, 1400]",0.0,True
0.02,0.45,"[900, 1400]",0.05,True
0.02,0.45,"[900, 1400]",0.2,True
0.03,0.4,[900],0.0,True
0.03,0.4,[900],0.05,True
0.03,0.4,[900],0.2,True
0.03,0.4,[1400],0.0,True
0.03,0.4,[1400],0.05,True
0.03,0.4,[1400],0.2,True
0.03,0.4,"[900, 1400]",0.0,True
0.03,0.4,"[900, 1400]",0.05,True
0.03,0.4,"[900, 1400]",0.2,True
0.05,0.3,[900],0.0,False
0.05,0.3,[900],0.05,False
0.05,0.3,[900],0.2,True
0.05,0.3,[1400],0.0,True
0.05,0.3,[1400],0.05,True
0.05,0.3,[1400],0.2,True
0.05,0.3,"[900, 1400]",0.0,False
0.05,0.3,"[900, 1400]",0.05,False
0.05,0.3,"[900, 1400]",0.2,True
0.5,0.5,[900],0.0,False
0.5,0.5,[900],0.05,False
0.5,0.5,[900],0.2,False
0.5,0.5,[1400],0.0,False
0.5,0.5,[1400],0.05,False
0.5,0.5,[1400],0.2,False
0.5,0.5,"[900, 1400]",0.0,False
0.5,0.5,"[900, 1400]",0.05,False
0.5,0.5,"[900, 1400]",0.2,False
