iteration,mg,algorithm,episode_reward,display_reward
1,1,F-MADRL,-30593.648432351245,-30593.648432351245
2,1,F-MADRL,-33354.42216530934,-31974.03529883029
3,1,F-MADRL,-32540.02402254767,-32162.698206736084
4,1,F-MADRL,-30650.579167261298,-31784.66844686739
5,1,F-MADRL,-30868.61150243736,-31601.45705798138
6,1,F-MADRL,-30417.13487058817,-31404.07002674918
7,1,F-MADRL,-29132.951201943877,-31079.624480348422
8,1,F-MADRL,-28993.98483106981,-30818.919524188597
9,1,F-MADRL,-28424.095356772435,-30552.827950031246
10,1,F-MADRL,-30226.217171393077,-30520.16687216743
11,1,F-MADRL,-32315.559550814687,-30683.38438840809
12,1,F-MADRL,-31618.08879909372,-30761.276422631887
13,1,F-MADRL,-30366.020068742502,-30730.872087717322
14,1,F-MADRL,-30480.15401656911,-30712.96365406388
15,1,F-MADRL,-30747.2396648813,-30715.24872145171
16,1,F-MADRL,-32140.731758568465,-30804.341411271504
17,1,F-MADRL,-29297.0531078916,-30715.677393425627
18,1,F-MADRL,-31758.59733086983,-30773.617389950305
19,1,F-MADRL,-33197.58820637317,-30901.194801340982
20,1,F-MADRL,-31264.801902380605,-30919.375156392965
21,1,F-MADRL,-29498.471270800845,-30851.713066602864
22,1,F-MADRL,-28380.583291001727,-30739.388985893722
23,1,F-MADRL,-30823.67311503729,-30743.05351324779
24,1,F-MADRL,-31200.198539563724,-30762.10122267762
25,1,F-MADRL,-30931.674163002102,-30768.8841402906
26,1,F-MADRL,-31263.89505541933,-30795.694005213318
27,1,F-MADRL,-28984.74899823224,-30620.90707853024
28,1,F-MADRL,-30131.952778764244,-30524.584228778902
29,1,F-MADRL,-33192.7990945778,-30626.27302587156
30,1,F-MADRL,-31463.461421761906,-30650.067022644544
31,1,F-MADRL,-31265.6588512578,-30684.007981871328
32,1,F-MADRL,-30395.12370362501,-30734.49488193857
33,1,F-MADRL,-32935.81108136307,-30892.167931950306
34,1,F-MADRL,-28100.45764932837,-30879.22242365254
35,1,F-MADRL,-33001.2879707102,-30990.225255625228
36,1,F-MADRL,-28656.242667928484,-30843.85258030978
37,1,F-MADRL,-30658.07576686572,-30805.45205902066
38,1,F-MADRL,-30437.122968958,-30808.296175029278
39,1,F-MADRL,-28915.41655177062,-30745.706676437338
