seed,algorithm,mg,training_last50_mean,evaluation_reward,abs_deficit,cg_cost,ba_cost
0,F-MADRL,1,-17733.064183225553,-17692.83689286182,3095.8052099289034,36729.95944782056,25005.957278356356
0,F-MADRL,2,-7878.5520593824085,-3965.654911003201,562.9886945756964,22485.413787271806,25739.39814348732
0,F-MADRL,3,-6024.179244126825,-3783.959739042879,542.3207289023302,25346.40073516097,26556.36659554671
0,PPO-MADRL,1,-18581.989168807202,-18178.143199474347,3194.0565333407294,35835.44391452259,25054.92590304926
0,PPO-MADRL,2,-7102.729314113905,-3538.6883945375434,554.0306756306477,22930.415575187362,3058.670251785077
0,PPO-MADRL,3,-5431.442343417115,-3045.7432830304706,492.65050776262467,24252.151900020875,3302.4326097207236
0,A2C-MADRL,1,-27296.384346684954,-26558.09495029129,4756.6370328901185,22521.07168215937,24780.00690049393
0,A2C-MADRL,2,-7968.258001765009,-5036.777403325996,785.4161380598612,20818.98093930338,3240.9596192128492
0,A2C-MADRL,3,-5980.212331365625,-3465.437789896643,552.7112214461831,26325.578616132414,3378.9034223559493
0,TRPO-MADRL,1,-18204.19354370182,-18206.077727196247,3193.1018104199825,35843.8512311872,25054.92590304926
0,TRPO-MADRL,2,-7846.744254288222,-6448.215217534194,1067.0302782723247,34036.52637927489,25952.459794373422
0,TRPO-MADRL,3,-2223.6208683337,-2125.0146147232135,198.38570193124735,24748.136195538624,26849.9936856976
1,F-MADRL,1,-17832.553845963514,-17730.197127880765,3103.1974564433185,36662.49870699854,24929.34453908739
1,F-MADRL,2,-7751.228403986548,-4039.856915437524,564.0699382753153,22546.64963735937,25589.691331223832
1,F-MADRL,3,-5613.362175900793,-3552.9492355785496,559.5609031387523,27170.455910715355,3312.720924715303
1,PPO-MADRL,1,-17617.41889582746,-17576.371069203582,3178.319817883117,36727.94221253217,2837.517621456327
1,PPO-MADRL,2,-7368.615417613785,-3683.221086786484,493.5590115628733,22781.85058115758,25822.809717374403
1,PPO-MADRL,3,-5698.009266864067,-4098.793308825377,535.4729243843608,27278.688692326064,26603.862406922173
1,A2C-MADRL,1,-17682.140846952196,-17603.159733902292,3183.4086984196138,36681.43520818876,2835.280529453183
1,A2C-MADRL,2,-8158.504528021882,-5139.246956779405,800.6201461201946,21379.007830814244,5776.730638213707
1,A2C-MADRL,3,-6522.142840851269,-4335.7617087727385,626.843312534814,27161.036917011657,21361.50193012661
1,TRPO-MADRL,1,-17600.73018746296,-17587.56056465084,3180.831543148801,36705.08415516959,2786.4505956343482
1,TRPO-MADRL,2,-3073.86099515601,-2989.9329617629073,432.48863725435945,27462.22921451309,25952.459794373422
1,TRPO-MADRL,3,-1898.322657411447,-1720.9240834784841,143.82215309336408,23526.528690353858,26849.9936856976
2,F-MADRL,1,-17734.468700651345,-17696.5449308315,3096.52474835043,36723.49193786073,24917.70112552878
2,F-MADRL,2,-7882.122954314644,-3819.6370962450155,534.3577476707409,22981.116325505216,25801.794411105206
2,F-MADRL,3,-6018.092907823407,-3842.0935374349,548.3863496153407,25153.01925884803,26798.492262590436
2,PPO-MADRL,1,-17567.184856604617,-17568.479269181153,3176.76448476953,36742.26074760438,2786.4505956343482
2,PPO-MADRL,2,-7471.374277808891,-3679.8313322702115,480.84219205144,23293.275566506545,25952.459794373422
2,PPO-MADRL,3,-5954.413981681602,-3773.2655077638756,552.1496783121901,24144.031862554482,26849.9936856976
2,A2C-MADRL,1,-17642.97348716112,-17604.654083488174,3183.7905723217764,36677.905150801846,2856.4857816211393
2,A2C-MADRL,2,-8380.66911830956,-3856.409545742641,554.420735155715,23371.35871545598,25228.142119806347
2,A2C-MADRL,3,-6468.564591719964,-3737.079596889699,584.0691277234633,25727.043890244473,8927.555594325551
2,TRPO-MADRL,1,-32225.957021137412,-32329.771066850524,6445.9370803151,11470.463985936647,2786.4505956343482
2,TRPO-MADRL,2,-1876.9585764283195,-1789.5217292171694,159.87778779925043,25891.452868040968,25952.459794373422
2,TRPO-MADRL,3,-1806.0014408931677,-1720.2471599501605,141.24799124489897,24005.923987782553,26849.9936856976
3,F-MADRL,1,-17753.874436821265,-17719.345172150825,3101.204689648146,36680.56989588674,25054.92590304926
3,F-MADRL,2,-7382.571237234058,-3799.791535316972,529.4849937921631,22968.370976134094,25788.263922992846
3,F-MADRL,3,-5750.500660241291,-3549.934368767268,482.68969970774486,24596.64358658305,26822.190953591024
3,PPO-MADRL,1,-17587.922962637454,-17576.049231536785,3178.202432203804,36729.11473181681,2786.4505956343482
3,PPO-MADRL,2,-6973.260028996733,-3576.246187432487,465.81954549502746,22894.833032128518,25830.509578889778
3,PPO-MADRL,3,-5479.076687553146,-3179.7118454626434,397.0074387395992,25161.804023758392,26358.114108982227
3,A2C-MADRL,1,-17678.758327198848,-17597.990466963904,3182.546591736458,36689.2038332637,2892.852356957533
3,A2C-MADRL,2,-7994.05250794934,-4846.318019504142,754.5917355874053,21570.650946822825,4385.438701369375
3,A2C-MADRL,3,-5882.469088599068,-3749.6998911080036,575.6054007275927,27890.10377418557,3498.2364401074055
3,TRPO-MADRL,1,-17868.227413918215,-17855.515521378024,3128.7743559040637,36428.94711225239,25054.92590304926
3,TRPO-MADRL,2,-2065.7812873034336,-1949.0349523162652,253.58273720897859,25449.712288366354,2973.913991977838
3,TRPO-MADRL,3,-2041.4028791768399,-1987.4384140725479,191.46540510364676,24089.186933765784,26849.9936856976
4,F-MADRL,1,-17591.249768216177,-17579.641191887153,3178.8686677944575,36723.024366554106,2786.4505956343482
4,F-MADRL,2,-7292.064644038368,-2872.954947288608,448.4161842695461,25621.945496236924,3099.2635987405765
4,F-MADRL,3,-5547.983315818447,-3042.1505249466954,496.8371595264226,25459.314893642615,3261.011998842914
4,PPO-MADRL,1,-17601.540379164817,-17577.575090978076,3178.477197545848,36726.60294034977,2786.4505956343482
4,PPO-MADRL,2,-7269.411922010335,-2955.5602932329366,370.79755378410545,26106.50004739538,25580.09908350832
4,PPO-MADRL,3,-5468.275095609462,-2827.4213708509715,443.66273992955485,25374.4436405729,3282.3937032066538
4,A2C-MADRL,1,-17705.48203402977,-17607.26055855851,3184.202838442269,36674.06496088595,2894.9947418687125
4,A2C-MADRL,2,-7921.819193521647,-4724.137682368104,736.0199779521108,21224.99490893797,3359.9783157281327
4,A2C-MADRL,3,-6103.673402264011,-3661.7733372444636,573.8919681614163,27690.69927266426,3486.9677771921706
4,TRPO-MADRL,1,-37231.654295319146,-37119.44815504703,6580.404121002407,9289.805568904443,25054.92590304926
4,TRPO-MADRL,2,-1995.3849007101228,-1917.188987612895,179.63315860878174,25073.41875080696,25952.459794373422
4,TRPO-MADRL,3,-2087.0737284771503,-1862.0621536596109,165.1912767775396,24208.86962450192,26849.9936856976
