algorithm,mg,seed_count,training_mean,training_std,evaluation_mean,evaluation_std
A2C-MADRL,1,5,-19601.147808405378,4301.826060411781,-19394.231958640834,4004.7225849532556
A2C-MADRL,2,5,-8084.660669913488,187.983166468612,-4720.577921544058,509.381021243297
A2C-MADRL,3,5,-6191.412450959988,288.94010289984647,-3789.9504647823096,325.6006770587676
F-MADRL,1,5,-17729.042186975574,87.12588356927448,-17683.713063122414,60.227217582039344
F-MADRL,2,5,-7637.307859791205,280.71102117117954,-3699.5790810582644,472.8502070900191
F-MADRL,3,5,-5790.823660782153,222.5961000668237,-3554.2174811540585,315.3912847470959
PPO-MADRL,1,5,-17791.21125260831,442.44279042657064,-17695.323572074787,269.9282501098687
PPO-MADRL,2,5,-7237.07819210873,200.556607821577,-3486.709458851933,303.62433596623384
PPO-MADRL,3,5,-5606.243475025079,221.02362058342587,-3384.9870631866675,531.1269305665597
TRPO-MADRL,1,5,-24626.15249230791,9393.127424429258,-24619.674607024535,9381.212969940118
TRPO-MADRL,2,5,-3371.7460027772213,2546.990773447593,-3018.778769688686,1976.7897703584474
TRPO-MADRL,3,5,-2011.284314858461,163.2784197862926,-1883.1372851768035,175.12413090966888
