mg,hour,time_index,load,wind,pv,price_grid,price_mg,latent_cg,latent_ba,cg_raw,ba_raw,p_cg,p_ba,soc_before,soc_after,p_loss,p_de,unbalanced,cg_cost,ba_cost,imbalance_cost,reward,mg_import,mg_export,grid_power,transaction_expense,balance_residual,obs_load,obs_wind,obs_pv,obs_soc,obs_price,sold_to_mg1,sold_to_mg2,sold_to_mg3
1,1,0,457.7,51.48,0.0,8.65,4.33,0.4471105635166168,-0.6406741738319397,141.95209926091553,-28.26792076146284,141.95209926091553,-28.26792076146284,0.5,0.767545247233897,3.3032835699890537,295.83910507053633,-295.83910507053633,1038.1842354975415,318.30919359983665,2559.0082588601394,-1178.6835850690104,172.08773763274877,0.0,123.75136743778755,1815.5892322866648,-1.4210854715202004e-14,447.3,44.12,0.0,0.5,8.87,0.0,0.0,0.0
2,1,0,110.5,51.48,0.0,8.65,4.33,0.4957190155982971,-0.18873408436775208,204.2241227168071,-9.326231117770638,204.2241227168071,-9.326231117770638,0.5,0.587599195618821,4.927557831980729,-130.95033376705572,130.95033376705572,1841.9699585072804,472.70267237867625,1132.7203870850321,-556.0176268059836,0.0,130.95033376705572,0.0,-567.0149452113513,0.0,119.6,44.12,0.0,0.5,8.87,130.95033376705572,0.0,0.0
3,1,0,124.71,51.48,0.0,8.65,4.33,0.2044200599193573,-0.048235394060611725,120.161945752462,-2.409900991550724,120.161945752462,-2.409900991550724,0.5,0.5218940594197319,3.3846408952182254,-41.13740386569306,41.13740386569306,943.3103902884716,545.8264471096758,355.838543438245,-189.9100812951732,0.0,41.13740386569306,0.0,-178.12495873845094,0.0,134.98,44.12,0.0,0.5,8.87,41.13740386569306,0.0,0.0
1,2,1,336.5,38.37,0.0,8.11,4.06,-0.307102769613266,0.5264570116996765,70.22009109628453,24.133407892927337,70.22009109628453,24.133407892927337,0.767545247233897,0.5119742841822994,2.6544699797842375,206.43097099057238,-206.43097099057238,504.59889673866854,406.13120552212166,1674.1551747335418,-771.5844306753096,72.8732412720797,0.0,133.55772971849268,1379.018547581619,0.0,457.7,51.48,0.0,0.767545247233897,8.65,0.0,0.0,0.0
2,2,1,109.85,38.37,0.0,8.11,4.06,-0.018170617520809174,0.21580684185028076,137.45639348291664,10.625893529409575,137.45639348291664,10.625893529409575,0.587599195618821,0.474572486391693,3.7290457402465247,-72.8732412720797,72.8732412720797,1289.3486918138776,526.464942730673,591.0019867165663,-302.2671667133459,0.0,72.8732412720797,0.0,-295.86535956464354,0.0,110.5,51.48,0.0,0.587599195618821,8.65,72.8732412720797,0.0,0.0
3,2,1,123.98,38.37,0.0,8.11,4.06,-0.7825507521629333,0.6723935604095459,34.583166535367006,29.327607946800114,34.583166535367006,29.327607946800114,0.5218940594197319,0.2121386087029965,2.0456154896433425,23.744841007476225,-23.744841007476225,320.2901539428051,794.6190289123728,192.57066057063219,-108.95498091388804,0.0,0.0,23.744841007476225,192.57066057063219,0.0,124.71,51.48,0.0,0.5218940594197319,8.65,0.0,0.0,0.0
1,3,2,274.9,43.56,0.0,8.25,4.13,1.0162001848220825,-0.6871932148933411,176.83143169096945,-29.808792291603826,176.83143169096945,-29.808792291603826,0.5119742841822994,0.7941338623841712,3.8116527879873128,88.12901338862164,-88.12901338862164,1327.757566666757,295.2205751518708,727.0643604561286,-359.6385250416305,0.0,0.0,88.12901338862164,727.0643604561286,0.0,336.5,38.37,0.0,0.5119742841822994,8.11,0.0,0.0,0.0
2,3,2,112.45,43.56,0.0,8.25,4.13,-1.0459818840026855,-0.35716181993484497,30.76650011889942,-17.13558213311026,30.76650011889942,-17.13558213311026,0.474572486391693,0.6364113716834572,1.1438183597157832,56.40290037392663,-56.40290037392663,546.9477099000521,441.8761525842401,465.32392808489465,-229.17224488788844,0.0,0.0,56.40290037392663,465.32392808489465,0.0,109.85,38.37,0.0,0.474572486391693,8.11,0.0,0.0,0.0
3,3,2,126.91,43.56,0.0,8.25,4.13,-0.4370116889476776,-0.3491423726081848,58.88356219112265,-16.780736845420304,58.88356219112265,-16.780736845420304,0.2121386087029965,0.3711313315170834,1.7132565069140469,42.9604311612117,-42.9604311612117,483.0525983454227,797.8997750287697,354.42355707999656,-185.1096481534823,0.0,0.0,42.9604311612117,354.42355707999656,0.0,123.98,38.37,0.0,0.2121386087029965,8.11,0.0,0.0,0.0
1,4,3,272.6,40.75,0.0,8.1,4.05,0.6380195021629333,-0.7858404517173767,156.35495460555254,-32.802310232916994,156.35495460555254,-11.310990035852342,0.7941338623841712,0.9,3.7158792913940037,90.52191472169383,-90.52191472169383,1155.370002164366,140.27090414989976,733.2275092457201,-355.86519728685937,0.0,0.0,90.52191472169383,733.2275092457201,0.0,274.9,43.56,0.0,0.7941338623841712,8.25,0.0,0.0,0.0
