mg,iteration,stage,abs_deficit,abs_net_deficit,positive_deficit,unbalanced_energy_kwh,cg_cost,ba_cost,episode_reward,max_balance_residual
1,1,pre_fed,5476.841686521043,5476.841686521043,5476.841686521043,5476.841686521043,17260.64553017665,12454.238835577507,-30385.679921253424,0.0
2,1,pre_fed,726.8751306810822,719.1796291257463,3.8477507776679545,726.8751306810822,31455.06412814849,13667.260771689056,-4809.395273028214,0.0
3,1,pre_fed,823.5106621357838,691.508064633528,757.5093633846559,823.5106621357838,18724.503630101317,14144.863147597956,-5312.340767926975,0.0
1,50,pre_fed,5395.706690878742,5395.706690878742,5395.706690878742,5395.706690878742,17649.621914993622,16616.59815780826,-29998.149590502187,0.0
2,50,pre_fed,614.5341649053886,531.983191659699,41.275486622844824,614.5341649053886,30092.15743867535,11639.6825297342,-3953.268459139396,0.0
3,50,pre_fed,804.2631403205171,664.0690892516252,734.1661147860711,804.2631403205171,18809.34055117328,16909.481501149516,-5224.1936275521875,0.0
1,500,pre_fed,4614.4356858773735,4614.4356858773735,4614.4356858773735,4614.4356858773735,24321.390888972477,6475.497303498338,-25402.243259219307,0.0
2,500,pre_fed,505.73577347133573,28.64812354393156,238.54382496370206,505.73577347133573,26015.84545558707,15997.838367133838,-3274.3380501630877,0.0
3,500,pre_fed,711.4286682282894,525.4829355097871,92.97286635925116,711.4286682282894,28595.212469734895,26240.56752802027,-4800.615545992493,0.0
1,700,pre_fed,4606.787805728232,4606.787805728232,4606.787805728232,4606.787805728232,23724.44118218695,23922.912326935973,-25760.4474524249,0.0
2,700,pre_fed,602.2925785198362,526.1732909594454,38.05964378019539,602.2925785198362,29657.77595329463,21551.379045700356,-4160.978227741317,0.0
3,700,pre_fed,669.7657381577924,313.2780235839941,491.52188087089326,669.7657381577924,21471.007422581257,26506.613566740663,-4329.530555415882,0.0
1,900,pre_fed,3134.6556364040944,3134.6556364040944,3134.6556364040944,3134.6556364040944,36375.489734221366,24927.064242777655,-17887.811666021513,0.0
2,900,pre_fed,568.1307145462858,272.07546115935463,420.10308785282024,568.1307145462858,23629.2832571236,24799.520621918564,-3982.2469932471035,0.0
3,900,pre_fed,640.071439517458,251.87065007575345,194.10039472085225,640.071439517458,26208.918452711783,26615.878210471306,-4306.372976944498,0.0
1,1400,pre_fed,3109.2840533084145,3109.2840533084145,3109.2840533084145,3109.2840533084145,36606.933729334356,24907.278164458083,-17761.249692557474,0.0
2,1400,pre_fed,465.54376139102783,108.5076917666733,287.0257265788506,465.54376139102783,24837.11625527456,25085.007515139172,-3373.1169319890473,0.0
3,1400,pre_fed,581.0778897544077,377.25887284316804,101.90950845561983,581.0778897544077,28009.70395917153,3259.531746607563,-3696.887605101426,0.0
1,1500,pre_fed,3103.1974564433185,3103.1974564433185,3103.1974564433185,3103.1974564433185,36662.49870699854,24929.34453908739,-17730.197127880765,0.0
2,1500,pre_fed,564.0699382753153,422.3201485644013,493.1950434198583,564.0699382753153,22546.64963735937,25589.691331223832,-4039.856915437524,0.0
3,1500,pre_fed,559.5609031387523,281.1078961961471,139.2265034713026,559.5609031387523,27170.455910715355,3312.720924715303,-3552.9492355785496,0.0
