mg,hour,time_index,load,wind,pv,price_grid,price_mg,latent_cg,latent_ba,cg_raw,ba_raw,p_cg,p_ba,soc_before,soc_after,p_loss,p_de,unbalanced,cg_cost,ba_cost,imbalance_cost,reward,mg_import,mg_export,grid_power,transaction_expense,balance_residual,obs_load,obs_wind,obs_pv,obs_soc,obs_price,sold_to_mg1,sold_to_mg2,sold_to_mg3
1,1,0,457.7,51.48,0.0,8.65,4.33,3.065232753753662,1.1487122774124146,199.5658309678988,40.86635170016763,199.5658309678988,37.905,0.5,0.09999999999999992,5.779016619357976,174.52818565145918,-174.52818565145918,1527.1113723446354,846.5310470825,1509.668805885122,-726.8238110368477,111.34491801049244,0.0,63.18326764096675,1028.6587600797945,0.0,447.3,44.12,0.0,0.5,8.87,0.0,0.0,0.0
2,1,0,110.5,51.48,0.0,8.65,4.33,-0.6245378255844116,1.458206057548523,62.400852932824456,44.865180869801605,62.400852932824456,37.905,0.5,0.09999999999999992,3.0357170586564894,-38.25013587416797,38.25013587416797,749.0302296536972,876.5690861075,330.8636753115529,-181.40064020542275,0.0,38.25013587416797,0.0,-165.6230883351473,0.0,119.6,44.12,0.0,0.5,8.87,38.25013587416797,0.0,0.0
3,1,0,124.71,51.48,0.0,8.65,4.33,0.38948753476142883,0.27190396189689636,137.09183518543088,13.269779239390001,137.09183518543088,13.269779239390001,0.5,0.35931811326957896,4.036832288496417,-73.09478213632447,73.09478213632447,1083.0481895351923,679.4624157706908,632.2698654792067,-319.7716515717607,0.0,73.09478213632447,0.0,-316.50040665028496,0.0,134.98,44.12,0.0,0.5,8.87,73.09478213632447,0.0,0.0
1,2,1,336.5,38.37,0.0,8.11,4.06,2.5489392280578613,0.6710764169692993,198.7854813758988,29.284375126953865,198.7854813758988,-0.021052631578956735,0.09999999999999992,0.1,4.742688574886397,104.10825983056654,-104.10825983056654,1520.1298610775084,1052.5389067811636,844.3179872258945,-431.396469608826,104.10825983056654,0.0,0.0,422.6795349121001,0.0,457.7,51.48,0.0,0.09999999999999992,8.65,0.0,0.0,0.0
2,2,1,109.85,38.37,0.0,8.11,4.06,-0.00837773084640503,0.29100558161735535,138.82714512085204,14.153004355816575,138.82714512085204,-0.021052631578956735,0.09999999999999992,0.1,3.5435218497854617,-63.78257063948763,63.78257063948763,1300.0128035767261,1090.2561177506927,517.2766478862446,-280.57986997535846,0.0,63.78257063948763,0.0,-258.95723679631976,0.0,110.5,51.48,0.0,0.09999999999999992,8.65,63.78257063948763,0.0,0.0
3,2,1,123.98,38.37,0.0,8.11,4.06,1.1929655075073242,-0.46703675389289856,183.14963248446747,-21.790098064161455,183.14963248446747,-21.790098064161455,0.35931811326957896,0.5656054086525736,3.9945906884061206,-71.7549437318999,71.7549437318999,1490.7653495871132,560.0877459691267,581.9325936657082,-302.8867290606935,0.0,40.32568919107891,-31.429254540820992,-163.72229811578035,0.0,124.71,51.48,0.0,0.35931811326957896,8.65,40.32568919107891,0.0,0.0
1,3,2,274.9,43.56,0.0,8.25,4.13,2.432000160217285,-0.28100016713142395,198.467918684499,-13.691525258011003,198.467918684499,-13.691525258011003,0.1,0.2298694899511045,4.56672786852976,51.13033444204174,-51.13033444204174,1517.2915643256852,923.1998645473042,421.82525914684436,-238.63119519353972,51.13033444204174,0.0,0.0,211.1682812456324,0.0,336.5,38.37,0.0,0.1,8.11,0.0,0.0,0.0
2,3,2,112.45,43.56,0.0,8.25,4.13,-0.7541121244430542,0.9871804714202881,50.73659037722285,37.8078750562595,50.73659037722285,-0.02105263157894797,0.1,0.1,1.885510754912878,20.059973009268973,-20.059973009268973,672.7477655262321,1090.2561177506923,165.49477732646903,-109.73272746244956,13.882640317786581,0.0,6.177332691482391,108.2982992171883,0.0,109.85,38.37,0.0,0.1,8.11,0.0,0.0,0.0
3,3,2,126.91,43.56,0.0,8.25,4.13,0.5593515634536743,0.03061264008283615,150.74961611541335,1.5301540476767759,150.74961611541335,1.5301540476767759,0.5656054086525736,0.5483673131228813,3.9167954032618026,-65.01297475982832,65.01297475982832,1199.747013840524,497.7380313335027,536.3570417685837,-275.3103696993432,0.0,65.01297475982832,0.0,-268.503585758091,0.0,123.98,38.37,0.0,0.5656054086525736,8.11,51.13033444204174,13.882640317786581,0.0
1,4,3,272.6,40.75,0.0,8.1,4.05,2.7968151569366455,0.4003983736038208,199.25846100751008,19.014488727903377,199.25846100751008,12.293926342264218,0.2298694899511045,0.1,5.0460477469954865,25.343660397221214,-25.343660397221214,1524.360264655917,984.0320659002463,205.2836492174918,-142.54548875899457,21.56913107310183,0.0,3.774529324119385,117.92866837142942,0.0,274.9,43.56,0.0,0.2298694899511045,8.25,0.0,0.0,0.0
