mg,hour,time_index,load,wind,pv,price_grid,price_mg,latent_cg,latent_ba,cg_raw,ba_raw,p_cg,p_ba,soc_before,soc_after,p_loss,p_de,unbalanced,cg_cost,ba_cost,imbalance_cost,reward,mg_import,mg_export,grid_power,transaction_expense,balance_residual,obs_load,obs_wind,obs_pv,obs_soc,obs_price,sold_to_mg1,sold_to_mg2,sold_to_mg3,run_id,seed,config_hash,iteration,stage,algorithm,scenario,checkpoint_sha256
1,1,0,457.7,51.48,0.0,8.65,4.33,0.005900383461266756,-0.0022942812647670507,100.59003149892045,-0.11471386196429062,100.59003149892045,-0.11471386196429062,0.5,0.5000897816886608,3.039106352739123,308.783788715783,-308.783788715783,720.3336511131508,526.6639182283427,2670.979772391523,-1226.880848963015,101.4383313297764,0.0,207.34545738600656,2232.7661810468885,0.0,447.3,44.12,0.0,0.5,8.87,0.0,0.0,0.0,inferred_20260921_seed4,4,11ed1195aabfcd298bcaf379e7f064ad8010cd8ca67a057b647baa8bf9ef6e77,1,pre_fed,F-MADRL,deterministic,642ef9158dde4372101df97d78077700c0f1e41201f8cdf019c9db5a0b5eda53
2,1,0,110.5,51.48,0.0,8.65,4.33,-0.002111309440806508,0.0030875448137521744,139.70441711748643,0.1543767501335164,139.70441711748643,0.1543767501335164,0.5,0.49737498157754195,3.8267758773523988,-77.01201799026754,77.01201799026754,1306.8527528595614,547.9360244893795,666.1539556158142,-336.8650555740952,0.0,77.01201799026754,0.0,-333.46203789785847,0.0,119.6,44.12,0.0,0.5,8.87,77.01201799026754,0.0,0.0,inferred_20260921_seed4,4,11ed1195aabfcd298bcaf379e7f064ad8010cd8ca67a057b647baa8bf9ef6e77,1,pre_fed,F-MADRL,deterministic,642ef9158dde4372101df97d78077700c0f1e41201f8cdf019c9db5a0b5eda53
3,1,0,124.71,51.48,0.0,8.65,4.33,0.005499380640685558,0.0029995900113135576,100.54993252017563,0.14997905075176646,100.54993252017563,0.14997905075176646,0.5,0.4974212731499814,3.043598231418548,-24.426313339508866,24.426313339508866,788.2428527754332,567.062964529297,211.2876103867517,-122.18554102013287,0.0,24.426313339508866,0.0,-105.76593676007339,0.0,134.98,44.12,0.0,0.5,8.87,24.426313339508866,0.0,0.0,inferred_20260921_seed4,4,11ed1195aabfcd298bcaf379e7f064ad8010cd8ca67a057b647baa8bf9ef6e77,1,pre_fed,F-MADRL,deterministic,642ef9158dde4372101df97d78077700c0f1e41201f8cdf019c9db5a0b5eda53
1,2,1,336.5,38.37,0.0,8.11,4.06,0.006073283962905407,-0.002151397056877613,100.60732092934299,-0.10756968688149997,100.60732092934299,-0.10756968688149997,0.5000897816886608,0.5001115141506577,2.77739502484923,200.40764378238774,-200.40764378238774,720.4607232149384,526.6143997177803,1625.3059910751645,-756.3291984424784,77.17018238534386,0.0,123.23746139704387,1312.7667524145218,0.0,457.7,51.48,0.0,0.5000897816886608,8.65,0.0,0.0,0.0,inferred_20260921_seed4,4,11ed1195aabfcd298bcaf379e7f064ad8010cd8ca67a057b647baa8bf9ef6e77,1,pre_fed,F-MADRL,deterministic,642ef9158dde4372101df97d78077700c0f1e41201f8cdf019c9db5a0b5eda53
2,2,1,109.85,38.37,0.0,8.11,4.06,-0.002060705330222845,0.0032471350859850645,139.71150166213872,0.16235618367794255,139.71150166213872,0.16235618367794255,0.49737498157754195,0.4946712191546191,3.564877156916333,-64.82898068890032,64.82898068890032,1306.9080375357903,551.1886817285962,525.7630333869815,-273.7552994094294,0.0,64.82898068890032,0.0,-263.2056615969353,0.0,110.5,51.48,0.0,0.49737498157754195,8.65,64.82898068890032,0.0,0.0,inferred_20260921_seed4,4,11ed1195aabfcd298bcaf379e7f064ad8010cd8ca67a057b647baa8bf9ef6e77,1,pre_fed,F-MADRL,deterministic,642ef9158dde4372101df97d78077700c0f1e41201f8cdf019c9db5a0b5eda53
3,2,1,123.98,38.37,0.0,8.11,4.06,0.005751894786953926,0.003161688568070531,100.57518313553346,0.15808390165384725,100.57518313553346,0.15808390165384725,0.4974212731499814,0.494762389533641,2.782065340743746,-12.341201696443548,12.341201696443548,788.4378049135372,570.3593190781842,100.08714575815716,-72.21515807100515,0.0,12.341201696443548,0.0,-50.1052788875608,0.0,124.71,51.48,0.0,0.4974212731499814,8.65,12.341201696443548,0.0,0.0,inferred_20260921_seed4,4,11ed1195aabfcd298bcaf379e7f064ad8010cd8ca67a057b647baa8bf9ef6e77,1,pre_fed,F-MADRL,deterministic,642ef9158dde4372101df97d78077700c0f1e41201f8cdf019c9db5a0b5eda53
1,3,2,274.9,43.56,0.0,8.25,4.13,0.0053786663338541985,-0.002211390994489193,100.53786144660897,-0.11056936948722722,100.53786144660897,-0.11056936948722722,0.5001115141506577,0.5001617001324851,2.8797458415424355,133.79245376442066,-133.79245376442066,719.9502463070894,526.5653799117797,1103.7877435564703,-521.6347971247891,81.7134353901689,0.0,52.07901837425176,767.1283897489745,0.0,336.5,38.37,0.0,0.5001115141506577,8.11,0.0,0.0,0.0,inferred_20260921_seed4,4,11ed1195aabfcd298bcaf379e7f064ad8010cd8ca67a057b647baa8bf9ef6e77,1,pre_fed,F-MADRL,deterministic,642ef9158dde4372101df97d78077700c0f1e41201f8cdf019c9db5a0b5eda53
2,3,2,112.45,43.56,0.0,8.25,4.13,-0.0020558354444801807,0.0028914145659655333,139.71218344325433,0.14457032541578826,139.71218344325433,0.14457032541578826,0.4946712191546191,0.4921600838171963,3.6683350753734025,-67.29841869329674,67.29841869329674,1306.9133578965443,554.3333521046385,555.2119542196981,-287.07031359888776,0.0,67.29841869329674,0.0,-277.9424692033155,0.0,109.85,38.37,0.0,0.4946712191546191,8.11,67.29841869329674,0.0,0.0,inferred_20260921_seed4,4,11ed1195aabfcd298bcaf379e7f064ad8010cd8ca67a057b647baa8bf9ef6e77,1,pre_fed,F-MADRL,deterministic,642ef9158dde4372101df97d78077700c0f1e41201f8cdf019c9db5a0b5eda53
3,3,2,126.91,43.56,0.0,8.25,4.13,0.005086072720587254,0.002811963902786374,100.50860288653011,0.1405978245639068,100.50860288653011,0.1405978245639068,0.494762389533641,0.492292887653901,2.884184014221881,-14.415016696872158,14.415016696872158,787.9237856856608,573.5475473592015,118.9238877491953,-80.74517614803514,0.0,14.415016696872158,0.0,-59.53401895808201,0.0,123.98,38.37,0.0,0.494762389533641,8.11,14.415016696872158,0.0,0.0,inferred_20260921_seed4,4,11ed1195aabfcd298bcaf379e7f064ad8010cd8ca67a057b647baa8bf9ef6e77,1,pre_fed,F-MADRL,deterministic,642ef9158dde4372101df97d78077700c0f1e41201f8cdf019c9db5a0b5eda53
1,4,3,272.6,40.75,0.0,8.1,4.05,0.005440777633339167,-0.0019387872889637947,100.54407239478974,-0.09693924298670437,100.54407239478974,-0.09693924298670437,0.5001617001324851,0.5000822995405938,2.8239426630360605,134.22680951123306,-134.22680951123306,719.9958890973999,526.6131676776512,1087.2371570409878,-514.1889018039456,80.39134597772944,0.0,53.835463533503614,761.6522058311836,0.0,274.9,43.56,0.0,0.5001617001324851,8.25,0.0,0.0,0.0,inferred_20260921_seed4,4,11ed1195aabfcd298bcaf379e7f064ad8010cd8ca67a057b647baa8bf9ef6e77,1,pre_fed,F-MADRL,deterministic,642ef9158dde4372101df97d78077700c0f1e41201f8cdf019c9db5a0b5eda53
