mg,hour,time_index,load,wind,pv,price_grid,price_mg,latent_cg,latent_ba,cg_raw,ba_raw,p_cg,p_ba,soc_before,soc_after,p_loss,p_de,unbalanced,cg_cost,ba_cost,imbalance_cost,reward,mg_import,mg_export,grid_power,transaction_expense,balance_residual,obs_load,obs_wind,obs_pv,obs_soc,obs_price,sold_to_mg1,sold_to_mg2,sold_to_mg3,run_id,seed,config_hash,iteration,stage,algorithm,scenario,checkpoint_sha256
1,1,0,457.7,51.48,0.0,8.65,4.33,0.004106657113879919,0.0005701383925043046,100.41066340282812,0.0285069165364169,100.41066340282812,0.0285069165364169,0.5,0.4986999271943535,3.038383406387291,308.8192130870227,-308.8192130870227,719.0156353966448,527.7858641245205,2671.2861932027467,-1959.043846361956,101.28771616068114,0.0,207.53149692634156,2233.7232593886038,0.0,447.3,44.12,0.0,0.5,8.87,0.0,0.0,0.0,main_seed0,0,d1c1eb972d85b5605cb5db7c2c6bc30520ef1b725ec02f3d139c77d64d6a78a6,1,pre_fed,F-MADRL,deterministic,b50d8b4c469618b9cc596d7123720a980493cd5671095c7cfd07b5906b33368d
2,1,0,110.5,51.48,0.0,8.65,4.33,0.002249278826639056,-0.007311627734452486,140.314898504679,-0.3655748722137894,140.314898504679,-0.3655748722137894,0.5,0.502472961286031,3.828586472649304,-77.1007371598159,77.1007371598159,1311.6194811486523,543.7340055714428,666.9213764324077,-1261.1374315762514,0.0,77.1007371598159,0.0,-333.8461919020029,0.0,119.6,44.12,0.0,0.5,8.87,77.1007371598159,0.0,0.0,main_seed0,0,d1c1eb972d85b5605cb5db7c2c6bc30520ef1b725ec02f3d139c77d64d6a78a6,1,pre_fed,F-MADRL,deterministic,b50d8b4c469618b9cc596d7123720a980493cd5671095c7cfd07b5906b33368d
3,1,0,124.71,51.48,0.0,8.65,4.33,0.005241101607680321,-0.0013682509306818247,100.52410536186791,-0.06841250384217182,100.52410536186791,-0.06841250384217182,0.5,0.4996499187865006,3.0387138571605146,-24.186979000865236,24.186979000865236,788.0434618610898,565.2423627491584,209.2173683574843,-781.2515964838663,0.0,24.186979000865236,0.0,-104.72961907374648,0.0,134.98,44.12,0.0,0.5,8.87,24.186979000865236,0.0,0.0,main_seed0,0,d1c1eb972d85b5605cb5db7c2c6bc30520ef1b725ec02f3d139c77d64d6a78a6,1,pre_fed,F-MADRL,deterministic,b50d8b4c469618b9cc596d7123720a980493cd5671095c7cfd07b5906b33368d
1,2,1,336.5,38.37,0.0,8.11,4.06,0.004168701358139515,0.0004894448211416602,100.41686772103114,0.024472239102923905,100.41686772103114,0.024472239102923905,0.4986999271943535,0.49744492482309194,2.7762267992026812,200.4648868390686,-200.4648868390686,719.0612166798129,529.2828876029271,1625.7702322648463,-1437.0571682737932,76.98893294242099,0.0,123.47595389664762,1313.9650538480414,0.0,457.7,51.48,0.0,0.4986999271943535,8.65,0.0,0.0,0.0,main_seed0,0,d1c1eb972d85b5605cb5db7c2c6bc30520ef1b725ec02f3d139c77d64d6a78a6,1,pre_fed,F-MADRL,deterministic,b50d8b4c469618b9cc596d7123720a980493cd5671095c7cfd07b5906b33368d
2,2,1,109.85,38.37,0.0,8.11,4.06,0.002500551287084818,-0.007649586535990238,140.35007645054455,-0.3824718665651616,140.35007645054455,-0.3824718665651616,0.502472961286031,0.505101498095828,3.5667520916795876,-64.92085249229982,64.92085249229982,1311.894328332613,540.6053836220528,526.5081137125514,-1189.5039128336086,0.0,64.92085249229982,0.0,-263.5786611187372,0.0,110.5,51.48,0.0,0.502472961286031,8.65,64.92085249229982,0.0,0.0,main_seed0,0,d1c1eb972d85b5605cb5db7c2c6bc30520ef1b725ec02f3d139c77d64d6a78a6,1,pre_fed,F-MADRL,deterministic,b50d8b4c469618b9cc596d7123720a980493cd5671095c7cfd07b5906b33368d
3,2,1,123.98,38.37,0.0,8.11,4.06,0.005415215622633696,-0.0017388893757015467,100.54151626903156,-0.08694438115280234,100.54151626903156,-0.08694438115280234,0.4996499187865006,0.4994765905698792,2.776491437757575,-12.068080450121172,12.068080450121172,788.1778762129948,565.5255281307395,97.8721324504827,-725.7877683971085,0.0,12.068080450121172,0.0,-48.99640662749196,0.0,124.71,51.48,0.0,0.4996499187865006,8.65,12.068080450121172,0.0,0.0,main_seed0,0,d1c1eb972d85b5605cb5db7c2c6bc30520ef1b725ec02f3d139c77d64d6a78a6,1,pre_fed,F-MADRL,deterministic,b50d8b4c469618b9cc596d7123720a980493cd5671095c7cfd07b5906b33368d
1,3,2,274.9,43.56,0.0,8.25,4.13,0.003882923861965537,0.0003433563106227666,100.38829043476758,0.017167814856480088,100.38829043476758,0.017167814856480088,0.49744492482309194,0.4962693211328512,2.8793091649924816,133.8138509153684,-133.8138509153684,718.851273023834,530.7023151859574,1103.9642700517893,-1176.7589291307904,81.64182471932203,0.0,52.17202619604636,767.5999522081825,0.0,336.5,38.37,0.0,0.49744492482309194,8.11,0.0,0.0,0.0,main_seed0,0,d1c1eb972d85b5605cb5db7c2c6bc30520ef1b725ec02f3d139c77d64d6a78a6,1,pre_fed,F-MADRL,deterministic,b50d8b4c469618b9cc596d7123720a980493cd5671095c7cfd07b5906b33368d
2,3,2,112.45,43.56,0.0,8.25,4.13,0.0022975204046815634,-0.006781008560210466,140.3216522906977,-0.33904523135846465,140.3216522906977,-0.33904523135846465,0.505101498095828,0.5073122247975418,3.670852141186785,-67.42175491815247,67.42175491815247,1311.672247383258,537.7793539061939,556.2294780747579,-1202.840539682105,0.0,67.42175491815247,0.0,-278.4518478119697,0.0,109.85,38.37,0.0,0.505101498095828,8.11,67.42175491815247,0.0,0.0,main_seed0,0,d1c1eb972d85b5605cb5db7c2c6bc30520ef1b725ec02f3d139c77d64d6a78a6,1,pre_fed,F-MADRL,deterministic,b50d8b4c469618b9cc596d7123720a980493cd5671095c7cfd07b5906b33368d
3,3,2,126.91,43.56,0.0,8.25,4.13,0.0050247241742908955,-0.0010438580065965652,100.50246818868855,-0.05219288137268726,100.50246818868855,-0.05219288137268726,0.4994765905698792,0.49897346976178,2.8802055061463174,-14.220069801169558,14.220069801169558,787.8764282404549,566.031876956875,117.31557585964885,-735.6119405284893,0.0,14.220069801169558,0.0,-58.728888278830276,0.0,123.98,38.37,0.0,0.4994765905698792,8.11,14.220069801169558,0.0,0.0,main_seed0,0,d1c1eb972d85b5605cb5db7c2c6bc30520ef1b725ec02f3d139c77d64d6a78a6,1,pre_fed,F-MADRL,deterministic,b50d8b4c469618b9cc596d7123720a980493cd5671095c7cfd07b5906b33368d
1,4,3,272.6,40.75,0.0,8.1,4.05,0.003929569385945797,9.393840446136892e-05,100.39295491599019,0.004696920209252574,100.39295491599019,0.004696920209252574,0.4962693211328512,0.49522734122522494,2.822953036723989,134.27530120052458,-134.27530120052458,718.8855398332526,531.9886527345735,1087.629939724249,-1169.2520661460376,80.2781607167323,0.0,53.99714048379228,762.5033888214832,0.0,274.9,43.56,0.0,0.4962693211328512,8.25,0.0,0.0,0.0,main_seed0,0,d1c1eb972d85b5605cb5db7c2c6bc30520ef1b725ec02f3d139c77d64d6a78a6,1,pre_fed,F-MADRL,deterministic,b50d8b4c469618b9cc596d7123720a980493cd5671095c7cfd07b5906b33368d
