mg,iteration,stage,abs_deficit,abs_net_deficit,positive_deficit,unbalanced_energy_kwh,cg_cost,ba_cost,episode_reward,max_balance_residual
1,1,pre_fed,5471.881650865482,5471.881650865482,5471.881650865482,5471.881650865482,17263.416889070744,13034.970037177965,-48218.60368188735,0.0
2,1,pre_fed,719.8100723465138,710.9784874518175,4.415792447348167,719.8100723465138,31470.385793757327,12248.45448254107,-26146.522291556328,0.0
3,1,pre_fed,811.2576179519397,669.4443575398845,740.3509877459121,811.2576179519397,18916.045662181765,13781.259652036839,-21424.896318920197,0.0
1,50,pre_fed,5479.850258901164,5479.850258901164,5479.850258901164,5479.850258901164,17271.54723148788,11877.122306923828,-47681.3993227792,0.0
2,50,pre_fed,789.9134362758083,789.9134362758083,0.0,789.9134362758083,32361.527321673726,8260.707091714274,-25060.273126949865,0.0
3,50,pre_fed,843.1389427929848,726.8184193419078,784.9786810674464,843.1389427929848,18365.597394398996,15878.496726351503,-22443.93466675622,0.0
1,500,pre_fed,4769.756648931217,4769.756648931217,4769.756648931217,4769.756648931217,22416.729023069493,23413.950760134423,-51499.7123948676,0.0
2,500,pre_fed,532.7590797038105,99.19427247387775,216.78240361496637,532.7590797038105,26378.74201520704,24178.339413270583,-28077.302623715623,0.0
3,500,pre_fed,949.5776798108691,876.2205908004212,912.8991353056451,949.5776798108691,17562.264069929537,10166.721330360495,-19996.173771523496,0.0
1,700,pre_fed,5632.745752407888,5632.745752407888,5632.745752407888,5632.745752407888,15822.366424055732,18460.62632852675,-51243.420336054376,5.684341886080802e-14
2,700,pre_fed,503.73934232835177,114.45223591660614,194.64355320587282,503.73934232835177,27112.66068508579,4321.451652496214,-18377.77684731889,0.0
3,700,pre_fed,812.8162009438827,693.3607236675364,753.0884623057095,812.8162009438827,19077.058150257864,5943.048370642267,-17544.587961831472,0.0
1,900,pre_fed,5566.951059714619,5566.951059714619,5566.951059714619,5566.951059714619,16287.446499130383,22787.209569839215,-53276.93920463523,0.0
2,900,pre_fed,1083.755449782291,1083.755449782291,1083.755449782291,1083.755449782291,18482.784583595483,3104.838518965882,-17980.003304937592,0.0
3,900,pre_fed,1045.5554546100836,1045.5554546100836,1045.5554546100836,1045.5554546100836,16350.904071450335,3466.904807585044,-16671.08188885825,0.0
1,1400,pre_fed,6126.946308432651,6126.946308432651,6126.946308432651,6126.946308432651,12827.841461137488,3296.7113802867757,-45183.672343436905,0.0
2,1400,pre_fed,511.1770840453418,189.0091597185458,350.09312188194383,511.1770840453418,24836.247248203,3318.1921937211355,-16961.716084816333,0.0
3,1400,pre_fed,1049.9939919004755,1049.9939919004755,1049.9939919004755,1049.9939919004755,16317.339389818986,3347.3984242456677,-16586.925189920825,0.0
1,1500,pre_fed,5917.953755558471,5917.953755558471,5917.953755558471,5917.953755558471,14320.643912066273,3081.0315479237966,-44476.99255779176,0.0
2,1500,pre_fed,986.979955419893,986.979955419893,986.979955419893,986.979955419893,19140.855833220627,3190.897039893116,-17603.7347687758,0.0
3,1500,pre_fed,1414.49973174369,1414.49973174369,1414.49973174369,1414.49973174369,13601.744632646383,3287.8979882061435,-17482.000890779742,0.0
