mg,hour,time_index,load,wind,pv,price_grid,price_mg,latent_cg,latent_ba,cg_raw,ba_raw,p_cg,p_ba,soc_before,soc_after,p_loss,p_de,unbalanced,cg_cost,ba_cost,imbalance_cost,reward,mg_import,mg_export,grid_power,transaction_expense,balance_residual,obs_load,obs_wind,obs_pv,obs_soc,obs_price,sold_to_mg1,sold_to_mg2,sold_to_mg3,run_id,seed,config_hash,iteration,stage,algorithm,scenario,checkpoint_sha256
1,1,0,463.92397669188443,44.590742719420504,0.0,8.65,4.33,0.004213774111121893,0.0004604982677847147,100.42137491715259,0.02302491176169182,100.42137491715259,0.02302491176169182,0.5,0.49875763250777166,2.9007028509666957,321.7895369945163,-321.7895369945163,719.0943301021484,527.7429082948953,2783.479495002566,-2015.158366699805,105.60091116974682,0.0,216.1886258247695,2327.28355874926,2.842170943040401e-14,454.3631458305995,52.87553627503011,0.0,0.5,8.87,0.0,0.0,0.0,main_seed0,0,d1c1eb972d85b5605cb5db7c2c6bc30520ef1b725ec02f3d139c77d64d6a78a6,1,pre_fed,F-MADRL,gaussian_forecast_errors,b50d8b4c469618b9cc596d7123720a980493cd5671095c7cfd07b5906b33368d
2,1,0,104.43821042539118,45.62952008156996,0.0,8.65,4.33,0.002313537523150444,-0.0075766174122691154,140.32389467536393,-0.3788236218345991,140.32389467536393,-0.3788236218345991,0.5,0.5025988244074286,3.7114918227019853,-77.4248888870061,77.4248888870061,1311.689766924223,543.6270501870515,669.7252888726028,-1262.5210529919386,0.0,77.4248888870061,0.0,-335.24976888073644,0.0,122.38541221299594,48.16994094577878,0.0,0.5,8.87,77.4248888870061,0.0,0.0,main_seed0,0,d1c1eb972d85b5605cb5db7c2c6bc30520ef1b725ec02f3d139c77d64d6a78a6,1,pre_fed,F-MADRL,gaussian_forecast_errors,b50d8b4c469618b9cc596d7123720a980493cd5671095c7cfd07b5906b33368d
3,1,0,129.30015872752705,60.23262154610614,0.0,8.65,4.33,0.00518710445612669,-0.0012269349535927176,100.51870579351254,-0.061346716896482564,100.51870579351254,-0.061346716896482564,0.5,0.49958279381051657,3.2137996124544443,-28.176022282740718,28.176022282740718,788.0017776971338,565.3012402218282,243.72259274570723,-798.5128053323346,0.0,28.176022282740718,0.0,-122.00217648426731,0.0,129.48016568629265,41.79423959606846,0.0,0.5,8.87,28.176022282740718,0.0,0.0,main_seed0,0,d1c1eb972d85b5605cb5db7c2c6bc30520ef1b725ec02f3d139c77d64d6a78a6,1,pre_fed,F-MADRL,gaussian_forecast_errors,b50d8b4c469618b9cc596d7123720a980493cd5671095c7cfd07b5906b33368d
1,2,1,347.69078058487554,47.77793790291244,0.0,8.11,4.06,0.004089281894266605,0.000609659356996417,100.40892591004531,0.030482964073138875,100.40892591004531,0.030482964073138875,0.49875763250777166,0.49743924393672306,2.9643469355406182,202.43778074338525,-202.43778074338525,719.0028706649719,529.262145805727,1641.7704018288543,-1445.0177091497767,62.07525295986814,0.0,140.3625277835171,1390.3656273413883,-2.842170943040401e-14,463.92397669188443,44.590742719420504,0.0,0.49875763250777166,8.65,0.0,0.0,0.0,main_seed0,0,d1c1eb972d85b5605cb5db7c2c6bc30520ef1b725ec02f3d139c77d64d6a78a6,1,pre_fed,F-MADRL,gaussian_forecast_errors,b50d8b4c469618b9cc596d7123720a980493cd5671095c7cfd07b5906b33368d
2,2,1,114.57321719699262,32.24067107180461,0.0,8.11,4.06,0.0024239930789917707,-0.007252452429383993,140.33935836639833,-0.3626162638534042,140.33935836639833,-0.3626162638534042,0.5025988244074286,0.5050384812652211,3.4443482634869906,-54.199847713869914,54.199847713869914,1311.8105853720044,540.6132517098392,439.56076495948497,-1145.9923010206644,0.0,54.199847713869914,0.0,-220.05138171831183,0.0,104.43821042539118,45.62952008156996,0.0,0.5025988244074286,8.65,54.199847713869914,0.0,0.0,main_seed0,0,d1c1eb972d85b5605cb5db7c2c6bc30520ef1b725ec02f3d139c77d64d6a78a6,1,pre_fed,F-MADRL,gaussian_forecast_errors,b50d8b4c469618b9cc596d7123720a980493cd5671095c7cfd07b5906b33368d
3,2,1,126.64528714737475,36.81416405770982,0.0,8.11,4.06,0.005623685661703348,-0.0022102845832705498,100.56236263778582,-0.11051404919669022,100.56236263778582,-0.11051404919669022,0.49958279381051657,0.4996335116902641,2.745320252925979,-7.875405245998223,7.875405245998223,788.3388203288242,565.4130171865515,63.869536545045584,-708.8106870302107,0.0,7.875405245998223,0.0,-31.974145298752784,0.0,129.30015872752705,60.23262154610614,0.0,0.49958279381051657,8.65,7.875405245998223,0.0,0.0,main_seed0,0,d1c1eb972d85b5605cb5db7c2c6bc30520ef1b725ec02f3d139c77d64d6a78a6,1,pre_fed,F-MADRL,gaussian_forecast_errors,b50d8b4c469618b9cc596d7123720a980493cd5671095c7cfd07b5906b33368d
1,3,2,280.3888598177516,30.855088042104285,0.0,8.25,4.13,0.00400417810305953,0.0002261107147205621,100.40041567029438,0.01130553554335896,100.40041567029438,0.01130553554335896,0.49743924393672306,0.4963253598115511,2.62533618495884,151.74738675476846,-151.74738675476846,718.9403497149037,530.6629996833225,1251.9159407268398,-1250.759645062533,96.70253318374154,0.0,55.04485357102692,853.5015040098247,0.0,347.69078058487554,47.77793790291244,0.0,0.49743924393672306,8.11,0.0,0.0,0.0,main_seed0,0,d1c1eb972d85b5605cb5db7c2c6bc30520ef1b725ec02f3d139c77d64d6a78a6,1,pre_fed,F-MADRL,gaussian_forecast_errors,b50d8b4c469618b9cc596d7123720a980493cd5671095c7cfd07b5906b33368d
2,3,2,107.91639119168723,48.39579015714745,0.0,8.25,4.13,0.0021323300898075104,-0.006437724456191063,140.2985257601244,-0.32188177610061863,140.2985257601244,-0.32188177610061863,0.5050384812652211,0.5070862811756466,3.7674486828234244,-76.68859426666059,76.68859426666059,1311.4915664290352,537.9935974963735,632.6809026999498,-1241.0830333126792,0.0,76.68859426666059,0.0,-316.7238943213082,0.0,114.57321719699262,32.24067107180461,0.0,0.5050384812652211,8.11,76.68859426666059,0.0,0.0,main_seed0,0,d1c1eb972d85b5605cb5db7c2c6bc30520ef1b725ec02f3d139c77d64d6a78a6,1,pre_fed,F-MADRL,gaussian_forecast_errors,b50d8b4c469618b9cc596d7123720a980493cd5671095c7cfd07b5906b33368d
3,3,2,126.34988967838233,48.9009961596746,0.0,8.25,4.13,0.004981561563909054,-0.000966054096352309,100.49815203569146,-0.0483026897912853,100.49815203569146,-0.0483026897912853,0.4996335116902641,0.49909312021990077,2.9870169101114956,-20.01393891708095,20.01393891708095,787.8431096719623,565.8680998596233,165.11499606591784,-759.4131027987518,0.0,20.01393891708095,0.0,-82.65756772754432,0.0,126.64528714737475,36.81416405770982,0.0,0.4996335116902641,8.11,20.01393891708095,0.0,0.0,main_seed0,0,d1c1eb972d85b5605cb5db7c2c6bc30520ef1b725ec02f3d139c77d64d6a78a6,1,pre_fed,F-MADRL,gaussian_forecast_errors,b50d8b4c469618b9cc596d7123720a980493cd5671095c7cfd07b5906b33368d
1,4,3,263.34633250277676,50.58238983955375,0.0,8.1,4.05,0.0037707064766436815,0.0003176541649736464,100.37706886058247,0.015882707714471853,100.37706886058247,0.015882707714471853,0.4963253598115511,0.4951655226949336,3.019506828157014,115.39049792308307,-115.39049792308307,718.7688371021728,532.0104820442973,934.6630331769728,-1092.7211761617216,92.57100715899006,0.0,22.81949076409302,559.7504541830632,0.0,280.3888598177516,30.855088042104285,0.0,0.4963253598115511,8.25,0.0,0.0,0.0,main_seed0,0,d1c1eb972d85b5605cb5db7c2c6bc30520ef1b725ec02f3d139c77d64d6a78a6,1,pre_fed,F-MADRL,gaussian_forecast_errors,b50d8b4c469618b9cc596d7123720a980493cd5671095c7cfd07b5906b33368d
