mg,iteration,stage,abs_deficit,abs_net_deficit,positive_deficit,unbalanced_energy_kwh,cg_cost,ba_cost,episode_reward,max_balance_residual
1,1,pre_fed,5520.91143069528,5520.91143069528,5520.91143069528,5520.91143069528,17263.32143231493,13039.045399108387,-48415.453952383876,2.842170943040401e-14
2,1,pre_fed,748.5944250230473,719.5442001558532,14.525112433596973,748.5944250230473,31470.591757752478,12249.150535928407,-26333.817943970054,0.0
3,1,pre_fed,833.12486414597,651.0667723836104,742.0958182647903,833.12486414597,18916.1764040538,13778.37896185071,-21533.63665845758,0.0
1,50,pre_fed,5528.779206553554,5528.779206553554,5528.779206553554,5528.779206553554,17272.28504257865,11878.037605467009,-47876.05313464404,0.0
2,50,pre_fed,812.4628299069271,798.4465183972878,7.008155754819683,812.4628299069271,32361.70505037602,8262.977371485276,-25223.135680846215,0.0
3,50,pre_fed,862.2724630986361,708.3645933698317,785.3185282342338,862.2724630986361,18366.282463707794,15878.75939293817,-22543.6161038989,0.0
1,500,pre_fed,4819.08908030595,4819.08908030595,4819.08908030595,4819.08908030595,22414.760699722632,23420.321041150164,-51688.335165774646,2.842170943040401e-14
2,500,pre_fed,579.6269614113562,107.0914533800956,236.26775401563035,579.6269614113562,26373.966666303077,24161.906629103494,-28359.500293082558,0.0
3,500,pre_fed,962.1396800029539,857.3651135324089,909.7523967676815,962.1396800029539,17565.336205774212,10212.097792215454,-20090.65474632787,0.0
1,700,pre_fed,5681.432160481139,5681.432160481139,5681.432160481139,5681.432160481139,15826.325115047403,18423.842500254,-51418.74423930152,0.0
2,700,pre_fed,550.0218776694369,123.11334191720587,213.4542678761155,550.0218776694369,27113.50301815894,4323.6306518164165,-18710.609706261155,0.0
3,700,pre_fed,831.7042979270241,674.5846764149557,753.1444871709898,831.7042979270241,19080.28985830194,5951.158168344589,-17650.2437199958,0.0
1,900,pre_fed,5615.357921285368,5615.357921285368,5615.357921285368,5615.357921285368,16292.09258617479,22784.374005568818,-53466.39527785116,0.0
2,900,pre_fed,1091.4064560462402,1075.490941088538,1083.448698567389,1091.4064560462402,18480.915619913216,3102.310144107215,-17953.42649347375,0.0
3,900,pre_fed,1047.8121689018824,1026.9296995657753,1037.3709342338288,1047.8121689018824,16352.868561926782,3466.4442878874406,-16696.030764418734,0.0
1,1400,pre_fed,6175.3350649324275,6175.3350649324275,6175.3350649324275,6175.3350649324275,12832.409088121298,3289.1863094920973,-45370.00417464934,0.0
2,1400,pre_fed,525.1023589627735,180.72312375178763,352.91274135728054,525.1023589627735,24834.36279682113,3315.9319068102113,-17025.354608590125,0.0
3,1400,pre_fed,1058.9113830819902,1031.3216330207847,1045.1165080513874,1058.9113830819902,16319.673588682617,3349.8716418519316,-16639.819776969638,0.0
1,1500,pre_fed,5966.343430049297,5966.343430049297,5966.343430049297,5966.343430049297,14325.297521564617,3076.022288064376,-44664.23790456925,0.0
2,1500,pre_fed,998.2438529357742,978.7937635724231,988.5188082540986,998.2438529357742,19138.470298658038,3188.23631816164,-17590.736853065748,0.0
3,1500,pre_fed,1395.6505599097477,1395.6505599097477,1395.6505599097477,1395.6505599097477,13605.353128552879,3290.623784030566,-17419.095841675582,0.0
