mg,hour,time_index,load,wind,pv,price_grid,price_mg,latent_cg,latent_ba,cg_raw,ba_raw,p_cg,p_ba,soc_before,soc_after,p_loss,p_de,unbalanced,cg_cost,ba_cost,imbalance_cost,reward,mg_import,mg_export,grid_power,transaction_expense,balance_residual,obs_load,obs_wind,obs_pv,obs_soc,obs_price,sold_to_mg1,sold_to_mg2,sold_to_mg3
1,1,0,457.7,51.48,0.0,8.65,4.33,-0.35609275102615356,0.5493072867393494,65.82322081961539,25.000042840174075,65.82322081961539,25.000042840174075,0.5,0.2358416543139571,2.846065273195789,318.2428016134063,-318.2428016134063,474.6036639206496,733.0003684255252,2752.800233955965,-1980.2021331510698,161.58607947913663,0.0,156.65672213426967,2054.7483706060943,0.0,447.3,44.12,0.0,0.5,8.87,0.0,0.0,0.0
2,1,0,110.5,51.48,0.0,8.65,4.33,0.3041985034942627,0.16766229271888733,181.32101429257446,8.30543636879911,181.32101429257446,8.30543636879911,0.5,0.4115743540126409,4.822129013227472,-125.78432164814609,125.78432164814609,1644.7709188848917,614.9613314961423,1088.0343822564637,-1673.8833163187487,0.0,125.78432164814609,0.0,-544.6461127364726,0.0,119.6,44.12,0.0,0.5,8.87,125.78432164814609,0.0,0.0
3,1,0,124.71,51.48,0.0,8.65,4.33,0.48934072256088257,-0.795006513595581,145.36930158006612,-33.06179358925944,145.36930158006612,-33.06179358925944,0.5,0.8130870390979646,3.275750159816133,-35.801757830990525,35.801757830990525,1153.3518636780082,309.1527724128838,309.6852052380681,-886.09492066448,0.0,35.801757830990525,0.0,-155.021611408189,0.0,134.98,44.12,0.0,0.5,8.87,35.801757830990525,0.0,0.0
1,2,1,336.5,38.37,0.0,8.11,4.06,2.08317232131958,-0.14211460947990417,196.94560080654924,-7.058276689255154,196.94560080654924,-7.058276689255154,0.2358416543139571,0.30242359955325315,4.565146482345882,112.8078223650518,-112.8078223650518,1503.708150997588,798.938803548514,914.8714393805701,-1608.7591969633363,27.91985124832412,0.0,84.88797111672768,801.7960418248574,0.0,457.7,51.48,0.0,0.2358416543139571,8.65,0.0,0.0,0.0
2,2,1,109.85,38.37,0.0,8.11,4.06,-0.9965881705284119,0.34932664036750793,33.577943312323285,16.788911957021995,33.577943312323285,16.788911957021995,0.4115743540126409,0.23402581628333147,1.7747371053869054,22.88788183604163,-22.88788183604163,564.2915529198468,804.3856988750033,185.6207216902976,-777.1489867425739,0.0,0.0,22.88788183604163,185.6207216902976,0.0,110.5,51.48,0.0,0.4115743540126409,8.65,0.0,0.0,0.0
3,2,1,123.98,38.37,0.0,8.11,4.06,0.26556962728500366,-0.8786442279815674,125.94975715786316,-35.28697331078009,125.94975715786316,-9.319908945287512,0.8130870390979646,0.9,3.099996964251513,-27.91985124832412,27.91985124832412,990.4698317043695,151.4964461197676,226.42999362390862,-684.1981357240229,0.0,27.91985124832412,0.0,-113.35459606819592,0.0,124.71,51.48,0.0,0.8130870390979646,8.65,27.91985124832412,0.0,0.0
1,3,2,274.9,43.56,0.0,8.25,4.13,-0.5322822332382202,0.7478779554367065,51.28762918619118,31.694063200524557,51.28762918619118,19.172781473643926,0.30242359955325315,0.1,2.280408213196702,163.15999755336156,-163.15999755336156,377.6716482960896,946.432740985583,1346.069979815233,-1335.0871845484528,17.19988240796377,0.0,145.9601151453978,1275.2064642944222,0.0,336.5,38.37,0.0,0.30242359955325315,8.11,0.0,0.0,0.0
2,3,2,112.45,43.56,0.0,8.25,4.13,-0.4470963478088379,-1.270796298980713,81.26870097280032,-42.70066635229989,81.26870097280032,-42.70066635229989,0.23402581628333147,0.6392140949976137,1.6425606924100087,31.96452607190959,-31.96452607190959,876.8011948848347,524.1410104810252,263.7073400932541,-832.324772729557,0.0,0.0,31.96452607190959,263.7073400932541,0.0,109.85,38.37,0.0,0.23402581628333147,8.11,0.0,0.0,0.0
3,3,2,126.91,43.56,0.0,8.25,4.13,-0.3516722619533539,0.962823212146759,66.2142242791645,37.27667613712504,66.2142242791645,37.27667613712504,0.9,0.5058139353986838,2.941018008325791,-17.19988240796377,17.19988240796377,534.355716282415,385.3464410425611,141.8990298657011,-530.8005935953386,0.0,17.19988240796377,0.0,-71.03551434489037,0.0,123.98,38.37,0.0,0.9,8.11,17.19988240796377,0.0,0.0
1,4,3,272.6,40.75,0.0,8.1,4.05,0.23076841235160828,-0.8802867531776428,122.67573805897152,-35.32814732693378,122.67573805897152,-35.32814732693378,0.1,0.4354173996058709,2.5619518146407545,147.06436108260306,-147.06436108260306,886.6048490346554,730.1795805025924,1191.2213247690847,-1404.0028771531663,147.06436108260306,0.0,0.0,595.6106623845424,0.0,274.9,43.56,0.0,0.1,8.25,0.0,0.0,0.0
