run_id,seed,config_hash,algorithm,iteration,mg,phase,episode_reward,discounted_return,cg_cost,ba_cost,imbalance_cost,abs_deficit,environment_steps,actor_loss,kl,actor_updates,trpo_accepted,actor_grad_norm,critic_loss,critic_grad_norm,critic_updates,actor_delta,critic_delta
main_seed4,4,d1c1eb972d85b5605cb5db7c2c6bc30520ef1b725ec02f3d139c77d64d6a78a6,F-MADRL,1,1,1,-47637.4269428776,-41840.471506002286,16796.688424051805,8281.726455799762,70196.43900590364,5623.620912833202,24,-0.0010948280105367303,4.70723352918867e-05,4,0,0.5598099231719971,3389876.25,11269315.0,4,0.026326540857553482,0.266050785779953
main_seed4,4,d1c1eb972d85b5605cb5db7c2c6bc30520ef1b725ec02f3d139c77d64d6a78a6,F-MADRL,1,2,1,-32192.847691641706,-28615.824323747824,30545.521622916734,12892.762716540827,20947.411043825865,1526.9490692035831,24,-0.0019825398921966553,5.352028165361844e-05,4,0,0.7964053750038147,1500388.375,6329419.0,4,0.02634589560329914,0.26726269721984863
main_seed4,4,d1c1eb972d85b5605cb5db7c2c6bc30520ef1b725ec02f3d139c77d64d6a78a6,F-MADRL,1,3,1,-22686.283547054285,-20020.86051970275,16736.418879539757,11010.631982384104,17625.516232184702,1392.188636644591,24,-0.0021524031180888414,5.8810659538721666e-05,4,0,0.8693292737007141,557171.125,4050257.75,4,0.02596815675497055,0.2679193913936615
main_seed4,4,d1c1eb972d85b5605cb5db7c2c6bc30520ef1b725ec02f3d139c77d64d6a78a6,F-MADRL,2,1,1,-44644.31915455686,-39165.734307204635,18264.671834535136,4754.004587627343,66269.96188695123,5456.847657464052,48,-0.0017116516828536987,4.0293689380632713e-05,4,0,1.4696367979049683,2827447.0,10835702.0,4,0.019549021497368813,0.2646971046924591
main_seed4,4,d1c1eb972d85b5605cb5db7c2c6bc30520ef1b725ec02f3d139c77d64d6a78a6,F-MADRL,2,2,1,-31905.59560441224,-28257.962965638035,33883.290632567354,13377.889506242078,16550.011070015047,1313.254079650445,48,3.0055642127990723e-05,2.1615026071231114e-06,4,0,0.6242924928665161,1471516.0,5985946.5,4,0.014340105466544628,0.2615021765232086
main_seed4,4,d1c1eb972d85b5605cb5db7c2c6bc30520ef1b725ec02f3d139c77d64d6a78a6,F-MADRL,2,3,1,-25478.338950704117,-22428.664856038184,18692.3273759743,18161.050333547784,14103.300191886156,1099.3930818104773,48,-0.001032268046401441,1.9050348782911897e-05,4,0,1.0690678358078003,770228.5625,4463022.5,4,0.018222028389573097,0.2561826705932617
main_seed4,4,d1c1eb972d85b5605cb5db7c2c6bc30520ef1b725ec02f3d139c77d64d6a78a6,F-MADRL,3,1,1,-52615.61716019704,-46151.88479088258,16444.782129317413,20170.500472548832,68615.95171852784,5639.886615281073,72,-0.00013814866542816162,1.2357728564893478e-06,4,0,0.5146706104278564,4334431.5,12139873.0,4,0.013371740467846394,0.24361282587051392
main_seed4,4,d1c1eb972d85b5605cb5db7c2c6bc30520ef1b725ec02f3d139c77d64d6a78a6,F-MADRL,3,2,1,-32562.46796181988,-29096.983974099603,32700.79410742442,14446.53014602694,17977.611670188395,1534.3026785330103,72,-0.0006394932861439884,6.312804998742649e-06,4,0,0.8129175901412964,1428496.875,6284065.5,4,0.01348200999200344,0.25816893577575684
main_seed4,4,d1c1eb972d85b5605cb5db7c2c6bc30520ef1b725ec02f3d139c77d64d6a78a6,F-MADRL,3,3,1,-22086.869452284158,-19914.500369977828,18066.065498646014,9768.911733621786,16338.761672300516,1315.6656215534133,72,-0.0002078165562124923,1.9039192693526275e-06,4,0,1.1549710035324097,537389.0,3800501.0,4,0.014255213551223278,0.2516065537929535
main_seed4,4,d1c1eb972d85b5605cb5db7c2c6bc30520ef1b725ec02f3d139c77d64d6a78a6,F-MADRL,4,1,1,-47352.19817118897,-41308.72865629596,20158.183413615603,13332.18299230213,61214.02993646019,5165.838144599189,96,-0.0012242296943441033,9.872732334770262e-06,4,0,1.3908089399337769,3455721.25,11316125.0,4,0.01278433296829462,0.24147629737854004
