mg,hour,time_index,load,wind,pv,price_grid,price_mg,latent_cg,latent_ba,cg_raw,ba_raw,p_cg,p_ba,soc_before,soc_after,p_loss,p_de,unbalanced,cg_cost,ba_cost,imbalance_cost,reward,mg_import,mg_export,grid_power,transaction_expense,balance_residual,obs_load,obs_wind,obs_pv,obs_soc,obs_price,sold_to_mg1,sold_to_mg2,sold_to_mg3
1,1,0,457.7,51.48,0.0,8.65,4.33,-0.008466124534606934,0.2566220760345459,99.15340777301662,12.55666709810955,99.15340777301662,12.55666709810955,0.5,0.36682455686200477,3.2638014974225236,297.77372662629637,-297.77372662629637,709.7918184729723,628.3563360094633,2575.7427353174635,-1956.9454448999495,0.0,0.0,297.77372662629637,2575.7427353174635,0.0,447.3,44.12,0.0,0.5,8.87,0.0,0.0,0.0
2,1,0,110.5,51.48,0.0,8.65,4.33,-1.253326654434204,-0.9048799872398376,21.110060318574604,-35.933286250880656,21.110060318574604,-35.933286250880656,0.5,0.8403662193833663,0.733135481353879,74.57636141365992,-74.57636141365992,488.29196592407305,277.21345795246987,645.0855262281584,-705.2954750523506,0.0,0.0,74.57636141365992,645.0855262281584,0.0,119.6,44.12,0.0,0.5,8.87,0.0,0.0,0.0
3,1,0,124.71,51.48,0.0,8.65,4.33,-0.10868081450462341,-0.6028352975845337,89.17450686620448,-26.953201444986576,89.17450686620448,-26.953201444986576,0.5,0.7550554137273724,2.274026108424358,13.282720687206435,-13.282720687206435,701.6487653035401,353.7255846347556,114.89553394433567,-585.1349419413158,0.0,0.0,13.282720687206435,114.89553394433567,0.0,134.98,44.12,0.0,0.5,8.87,0.0,0.0,0.0
1,2,1,336.5,38.37,0.0,8.11,4.06,0.18140584230422974,-0.05740445852279663,117.9441785624744,-2.867074354622516,117.9441785624744,-2.867074354622516,0.36682455686200477,0.39332811411719465,3.068942084157038,186.12183787630514,-186.12183787630514,850.3184183572461,666.0921223159955,1509.4481051768346,-1512.929322925038,133.36873060686574,0.0,52.7531072694394,969.3047462190284,0.0,457.7,51.48,0.0,0.36682455686200477,8.65,0.0,0.0,0.0
2,2,1,109.85,38.37,0.0,8.11,4.06,0.6109009385108948,-1.9628323316574097,216.26653743926067,-48.06526842105144,216.26653743926067,-6.454159268989525,0.8403662193833663,0.9,4.963647563405424,-133.36873060686574,133.36873060686574,1948.8551682963507,135.63540938536417,1081.620405221681,-1583.055491451698,0.0,133.36873060686574,0.0,-541.4770462638749,0.0,110.5,51.48,0.0,0.8403662193833663,8.65,133.36873060686574,0.0,0.0
3,2,1,123.98,38.37,0.0,8.11,4.06,-1.6547510623931885,-2.153001308441162,7.049329039353225,-48.66921318472519,7.049329039353225,-15.416283905271833,0.7550554137273724,0.9,0.6000609026816278,94.57701576860023,-94.57701576860023,149.42868559774038,168.27538959545993,767.0195978833478,-542.361836538274,0.0,0.0,94.57701576860023,767.0195978833478,0.0,124.71,51.48,0.0,0.7550554137273724,8.65,0.0,0.0,0.0
1,3,2,274.9,43.56,0.0,8.25,4.13,0.612485408782959,1.4827345609664917,154.58742755302694,45.098953082343186,154.58742755302694,27.79143849945122,0.39332811411719465,0.10000000000000003,4.518777321049564,53.47991126857136,-53.47991126857136,1140.807994938759,900.0162619264182,441.2092679657137,-1241.0167624154456,53.47991126857136,0.0,0.0,220.8720335391997,0.0,336.5,38.37,0.0,0.39332811411719465,8.11,0.0,0.0,0.0
2,3,2,112.45,43.56,0.0,8.25,4.13,1.1443700790405273,-2.2464396953582764,254.2232561537611,-48.89354131585888,254.2232561537611,-0.18947368421052882,0.9,0.9,5.951875649391011,-179.19190682015955,179.19190682015955,2300.1720211209613,119.10680096398887,1478.3332312663163,-1948.8060266756333,0.0,115.79717396045936,-63.394732859700184,-478.2423284566971,0.0,109.85,38.37,0.0,0.9,8.11,53.47991126857136,0.0,62.317262691888004
3,3,2,126.91,43.56,0.0,8.25,4.13,-1.0317161083221436,-2.530047655105591,22.540430121059508,-49.369504987808114,22.540430121059508,-0.18947368421052882,0.9,0.9,1.3182191287369796,62.317262691888004,-62.317262691888004,243.78657340875822,126.80720528531852,514.1174172080761,-442.3555979510764,62.317262691888004,0.0,0.0,257.37029491749746,0.0,123.98,38.37,0.0,0.9,8.11,0.0,0.0,0.0
1,4,3,272.6,40.75,0.0,8.1,4.05,0.8878138065338135,0.4952510595321655,171.03122491726475,22.9187088856957,171.03122491726475,-0.021052631578945054,0.10000000000000003,0.1,4.235203445713716,65.07503116002795,-65.07503116002795,1278.2372136900244,1052.5389067811634,527.1077523962264,-1428.941936433707,65.07503116002795,0.0,0.0,263.5538761981132,0.0,274.9,43.56,0.0,0.10000000000000003,8.25,0.0,0.0,0.0
