mg,hour,time_index,load,wind,pv,price_grid,price_mg,latent_cg,latent_ba,cg_raw,ba_raw,p_cg,p_ba,soc_before,soc_after,p_loss,p_de,unbalanced,cg_cost,ba_cost,imbalance_cost,reward,mg_import,mg_export,grid_power,transaction_expense,balance_residual,obs_load,obs_wind,obs_pv,obs_soc,obs_price,sold_to_mg1,sold_to_mg2,sold_to_mg3
1,1,0,457.7,51.48,0.0,8.65,4.33,0.14321061968803406,-0.44542330503463745,114.22395364234038,-20.90648522625737,114.22395364234038,-20.90648522625737,0.5,0.697611609649445,2.89594936832166,315.7984809522386,-315.7984809522386,822.0426186782558,370.44752945736394,2731.656860236864,-1962.0735041862417,168.80216734091454,0.0,146.99631361132413,2002.4314973241137,5.684341886080802e-14,447.3,44.12,0.0,0.5,8.87,0.0,0.0,0.0
2,1,0,110.5,51.48,0.0,8.65,4.33,-0.051490411162376404,-0.27257832884788513,132.79770636938778,-13.301117027919423,132.79770636938778,-13.301117027919423,0.5,0.6253606117652345,3.419531786829367,-57.05705755463899,57.05705755463899,1253.3187263870957,442.03176017057507,493.5435478476273,-1094.447017202649,0.0,57.05705755463899,0.0,-247.05705921158682,0.0,119.6,44.12,0.0,0.5,8.87,57.05705755463899,0.0,0.0
3,1,0,124.71,51.48,0.0,8.65,4.33,1.234590768814087,0.10862818360328674,184.39057842527498,5.410145846434738,184.39057842527498,5.410145846434738,0.5,0.4420510963533185,4.825614485434194,-111.74510978627553,111.74510978627553,1502.3081720649186,611.4124310608123,966.5951996512835,-1540.1579013885073,0.0,111.74510978627553,0.0,-483.8563253745731,0.0,134.98,44.12,0.0,0.5,8.87,111.74510978627553,0.0,0.0
1,2,1,336.5,38.37,0.0,8.11,4.06,-0.45802077651023865,0.16576077044010162,57.153028251351856,8.212954505583268,57.153028251351856,8.212954505583268,0.697611609649445,0.6097642337397959,2.074719655138703,234.8387368982036,-234.8387368982036,416.3737175679612,366.6936058306516,1904.542156244431,-1343.804739821522,111.88800331645896,0.0,122.95073358174463,1451.3957428127724,0.0,457.7,51.48,0.0,0.697611609649445,8.65,0.0,0.0,0.0
2,2,1,109.85,38.37,0.0,8.11,4.06,0.19326536357402802,0.4517795443534851,166.72523399351283,21.168034696751413,166.72523399351283,21.168034696751413,0.6253606117652345,0.40128847268116286,4.5252653738052855,-111.88800331645896,111.88800331645896,1523.258836824609,565.8910666917722,907.4117068964821,-1498.2808052064315,0.0,111.88800331645896,0.0,-454.26529346482334,0.0,110.5,51.48,0.0,0.6253606117652345,8.65,111.88800331645896,0.0,0.0
3,2,1,123.98,38.37,0.0,8.11,4.06,-0.8336812257766724,0.1979822814464569,31.755229882739112,9.771771802263467,31.755229882739112,9.771771802263467,0.4420510963533185,0.3383062383473122,1.5979400337000516,45.68093834869748,-45.68093834869748,302.0776345553175,725.6088071576796,370.47241000793656,-699.0794258604668,0.0,0.0,45.68093834869748,370.47241000793656,0.0,124.71,51.48,0.0,0.4420510963533185,8.65,0.0,0.0,0.0
1,3,2,274.9,43.56,0.0,8.25,4.13,0.72189861536026,-0.13428620994091034,161.8083971462712,-6.67424026159429,161.8083971462712,-6.67424026159429,0.6097642337397959,0.6719499877574621,3.973883137693538,80.17972625301661,-80.17972625301661,1200.6178865117392,354.46114738096867,661.4827415873871,-1108.2808877400475,80.17972625301661,0.0,0.0,331.1422694249586,0.0,336.5,38.37,0.0,0.6097642337397959,8.11,0.0,0.0,0.0
2,3,2,112.45,43.56,0.0,8.25,4.13,0.23683884739875793,0.3531148135662079,172.5510772235149,16.956751062016416,172.5510772235149,16.956751062016416,0.40128847268116286,0.22199377929352243,4.661356565710626,-115.9564717198207,115.9564717198207,1571.3715629371297,819.9406114437165,956.6408916885208,-1673.9765330346834,0.0,80.17972625301661,-35.77674546680409,-331.1422694249586,0.0,109.85,38.37,0.0,0.40128847268116286,8.11,80.17972625301661,0.0,0.0
3,3,2,126.91,43.56,0.0,8.25,4.13,-0.25793346762657166,0.5511486530303955,74.7638378450808,25.069030403437782,74.7638378450808,22.574814457708666,0.3383062383473122,0.10000000000000003,2.8179730460557892,-11.170679256733678,11.170679256733678,595.479396648512,994.0691331495456,92.15810386805285,-840.8533168330553,0.0,0.0,-11.170679256733678,0.0,0.0,123.98,38.37,0.0,0.3383062383473122,8.11,0.0,0.0,0.0
1,4,3,272.6,40.75,0.0,8.1,4.05,-0.7933377623558044,-0.0910821259021759,33.97042830772067,-4.541554393866458,33.97042830772067,-4.541554393866458,0.6719499877574621,0.7137508545236786,1.403577478277084,203.82470356442292,-203.82470356442292,266.65816891538316,303.9735658038718,1650.9800988718255,-1110.8059167955403,30.46158714419738,0.0,173.36311642022554,1527.6106709378262,0.0,274.9,43.56,0.0,0.6719499877574621,8.25,0.0,0.0,0.0
2,4,3,110.5,40.75,0.0,8.1,4.05,-0.05041458457708359,-0.6887704730033875,132.94793173066097,-29.85957750188813,132.94793173066097,-29.85957750188813,0.22199377929352243,0.5052157780028725,2.8767670845754565,-30.46158714419738,30.46158714419738,1254.475411621254,644.7104086104556,246.73885586799878,-1072.962338049854,0.0,30.46158714419738,0.0,-123.36942793399939,0.0,112.45,43.56,0.0,0.22199377929352243,8.25,30.46158714419738,0.0,0.0
3,4,3,124.71,40.75,0.0,8.1,4.05,-0.3000833988189697,-0.25236278772354126,70.86110680609659,-12.356921462946362,70.86110680609659,-12.356921462946362,0.10000000000000003,0.21719075389799045,1.9850837068630045,27.440898363712776,-27.440898363712776,567.4053468923789,1002.1861883383822,222.27127674607348,-895.9314059884173,0.0,0.0,27.440898363712776,222.27127674607348,0.0,126.91,43.56,0.0,0.10000000000000003,8.25,0.0,0.0,0.0
