mg,hour,time_index,load,wind,pv,price_grid,price_mg,latent_cg,latent_ba,cg_raw,ba_raw,p_cg,p_ba,soc_before,soc_after,p_loss,p_de,unbalanced,cg_cost,ba_cost,imbalance_cost,reward,mg_import,mg_export,grid_power,transaction_expense,balance_residual,obs_load,obs_wind,obs_pv,obs_soc,obs_price,sold_to_mg1,sold_to_mg2,sold_to_mg3
1,1,0,457.7,51.48,0.0,8.65,4.33,0.140241801738739,-0.5234231948852539,113.93295635698233,-24.016885978842197,113.93295635698233,-24.016885978842197,0.5,0.7271604167990009,2.827921407562803,319.13185102942265,-319.13185102942265,819.8403305702993,348.2154037812182,2760.490511404506,-1964.2731228780117,185.327769293389,0.0,133.80408173603365,1959.8745480570653,0.0,447.3,44.12,0.0,0.5,8.87,0.0,0.0,0.0
2,1,0,110.5,51.48,0.0,8.65,4.33,0.07597249746322632,-0.3298377990722656,150.6157334639058,-15.918751230997897,150.6157334639058,-15.918751230997897,0.5,0.65022813669448,3.723539644658158,-71.95344258824974,71.95344258824974,1392.9041197431993,422.11492454167865,622.3972783883603,-1218.708161336619,0.0,71.95344258824974,0.0,-311.55840640712137,0.0,119.6,44.12,0.0,0.5,8.87,71.95344258824974,0.0,0.0
3,1,0,124.71,51.48,0.0,8.65,4.33,1.221329689025879,0.15029335021972656,184.00459708118663,7.4585934342615765,184.00459708118663,7.4585934342615765,0.5,0.4204884901656676,4.858863810308964,-113.37432670513924,113.37432670513924,1498.7147806382877,628.9422859316749,980.6879259994545,-1554.1724962847086,0.0,113.37432670513924,0.0,-490.91083463325293,0.0,134.98,44.12,0.0,0.5,8.87,113.37432670513924,0.0,0.0
1,2,1,336.5,38.37,0.0,8.11,4.06,-0.5082980394363403,0.17894095182418823,53.138194641693495,8.85276061342377,53.138194641693495,8.85276061342377,0.7271604167990009,0.6325191421398896,2.007219105102345,238.14626384998508,-238.14626384998508,389.82218196169265,339.68614483193255,1931.3661998233788,-1330.437263308502,131.8325813642499,0.0,106.31368248573517,1397.4442452981666,0.0,457.7,51.48,0.0,0.7271604167990009,8.65,0.0,0.0,0.0
2,2,1,109.85,38.37,0.0,8.11,4.06,0.3823259472846985,0.35824310779571533,191.06160004216107,17.183278900951056,191.06160004216107,17.183278900951056,0.65022813669448,0.4680510604110799,4.932297578862243,-131.8325813642499,131.8325813642499,1727.6643543205723,503.89184812742826,1069.1622348640667,-1650.3592186560336,0.0,131.8325813642499,0.0,-535.2402803388545,0.0,110.5,51.48,0.0,0.65022813669448,8.65,131.8325813642499,0.0,0.0
3,2,1,123.98,38.37,0.0,8.11,4.06,-0.9796245098114014,0.2740357518196106,24.709668770111513,13.368804948383243,24.709668770111513,13.368804948383243,0.4204884901656676,0.2789232505707758,1.5289694743698952,49.06049575587515,-49.06049575587515,257.3635689962698,787.7204000581303,397.8806205801475,-721.4822948172738,0.0,0.0,49.06049575587515,397.8806205801475,0.0,124.71,51.48,0.0,0.4204884901656676,8.65,0.0,0.0,0.0
1,3,2,274.9,43.56,0.0,8.25,4.13,0.7761237621307373,-0.2155921310186386,165.04762143014904,-10.615642378565557,165.04762143014904,-10.615642378565557,0.6325191421398896,0.7321027064519825,3.95983958103167,80.86786052944817,-80.86786052944817,1227.7222050324258,302.8725921435257,667.1598493679473,-1098.8773232719495,80.86786052944817,0.0,0.0,333.98426398662093,0.0,336.5,38.37,0.0,0.6325191421398896,8.11,0.0,0.0,0.0
2,3,2,112.45,43.56,0.0,8.25,4.13,0.3461630940437317,0.2980988025665283,186.61557570258805,14.478589718318451,186.61557570258805,14.478589718318451,0.4680510604110799,0.31470875072901083,4.89308330841813,-127.31108211248836,127.31108211248836,1689.6493055112437,708.5462852835581,1050.316427428029,-1724.2560091114156,0.0,88.70171035400301,-38.60937175848535,-366.33806376203245,0.0,109.85,38.37,0.0,0.4680510604110799,8.11,80.86786052944817,0.0,7.8338498245548465
3,3,2,126.91,43.56,0.0,8.25,4.13,-0.4117816090583801,0.6284890174865723,61.00156230261449,27.850545470706734,61.00156230261449,16.944713386615256,0.2789232505707758,0.10000000000000003,2.4301255137845947,7.8338498245548465,-7.8338498245548465,497.77038771010785,1026.8818578988835,64.62926105257748,-794.6407533307844,7.8338498245548465,0.0,0.0,32.35379977541152,0.0,123.98,38.37,0.0,0.2789232505707758,8.11,0.0,0.0,0.0
1,4,3,272.6,40.75,0.0,8.1,4.05,-0.8078852891921997,-0.18455368280410767,33.15779706995324,-9.124326889758336,33.15779706995324,-9.124326889758336,0.7321027064519825,0.8173196064917827,1.295669403603898,209.11219922340902,-209.11219922340902,261.5680592430433,212.83440495202942,1693.808813709613,-1084.1056389523428,39.857675550359886,0.0,169.25452367304914,1532.3852277306555,0.0,274.9,43.56,0.0,0.7321027064519825,8.25,0.0,0.0,0.0
