seed,algorithm,mg,training_last50_mean,evaluation_reward,abs_deficit,cg_cost,ba_cost
0,F-MADRL,1,-45678.75082624999,-44476.99255779176,5917.953755558471,14320.643912066273,3081.0315479237966
0,F-MADRL,2,-23151.014969626478,-17603.7347687758,986.979955419893,19140.855833220627,3190.897039893116
0,F-MADRL,3,-18873.389849370928,-17482.000890779742,1414.49973174369,13601.744632646383,3287.8979882061435
0,PPO-MADRL,1,-51899.07186374818,-51323.57398467204,4353.589854758971,25793.23988369574,25054.92590304926
0,PPO-MADRL,2,-21658.709441407434,-17122.24932786861,735.7891269331608,21420.211748246908,3042.309182120076
0,PPO-MADRL,3,-19022.42136402633,-17271.823232786108,1348.9597744158707,14082.485017312909,3319.4400038327003
0,A2C-MADRL,1,-50345.649579572695,-53005.0481098407,5298.36532214257,18301.11644022628,23699.461312639596
0,A2C-MADRL,2,-26178.44964465378,-17148.61966175365,519.0275678170136,24935.102369155025,3536.717922271006
0,A2C-MADRL,3,-22422.346070746375,-16860.128913976812,984.2080611208494,16950.86064855561,4081.122065920519
0,TRPO-MADRL,1,-48951.68089300015,-48578.26934376011,7400.340980992103,4422.014481296992,2963.8556226030173
0,TRPO-MADRL,2,-16020.340824789666,-15857.435940343337,524.6168854873106,22951.56722079387,2973.913991977838
0,TRPO-MADRL,3,-28602.819560336546,-28520.128320588406,1272.4697529503376,16157.767299033263,26849.9936856976
1,F-MADRL,1,-43317.95225087135,-42239.326556197186,5076.779282578315,20639.91116315627,2900.3257876413
1,F-MADRL,2,-22183.252285244027,-16687.8202655237,688.4405207392904,21614.139902909803,3098.779597213592
1,F-MADRL,3,-18532.738930571704,-16317.618195763831,945.0887875283767,17252.338597560734,3237.2045489116144
1,PPO-MADRL,1,-42521.616266351666,-41052.34184735178,4568.733497135812,24700.53687647175,3071.20750242565
1,PPO-MADRL,2,-21584.045482259357,-17673.207945925216,974.3410019150447,19301.606525526848,3056.1798406861562
1,PPO-MADRL,3,-18987.382634233447,-16233.41546421306,966.9419441002706,16963.55306411036,3306.7953451796902
