algorithm,mg,seed_count,training_mean,training_std,evaluation_mean,evaluation_std
A2C-MADRL,1,5,-48189.92341621283,1793.1248676402708,-46634.703575887674,4183.046604658907
A2C-MADRL,2,5,-26233.345608216332,1612.005256240943,-17528.30447815895,328.84590281717914
A2C-MADRL,3,5,-21452.761828090635,1613.325930536017,-16763.408708187595,172.38425150065012
F-MADRL,1,5,-43595.72189282083,2028.2431837004578,-42946.83949381714,2261.7715352560544
F-MADRL,2,5,-21700.903707560687,1036.5901755459645,-17676.544132425024,693.8562673300823
F-MADRL,3,5,-18856.426505032807,243.03713633337685,-17897.360694729497,1280.3123557275371
PPO-MADRL,1,5,-45940.62734380977,5305.423959055412,-45131.37410250597,6013.541253282946
PPO-MADRL,2,5,-21295.356283060046,642.072692044098,-18806.94269454512,1477.0117647653756
PPO-MADRL,3,5,-18742.80388595255,259.9117302388462,-17071.123429416337,544.3385210878783
TRPO-MADRL,1,5,-50411.87280079512,5062.343206422665,-50087.891707639414,5148.308299245103
TRPO-MADRL,2,5,-24132.393166484027,6653.3031922849195,-22755.466392573966,6609.513166770114
TRPO-MADRL,3,5,-21977.19349025307,4535.868863536421,-20835.489003556268,4942.769505638668
