mg,iteration,metric,value,reading_error
1,1,abs_deficit,5460.567823343848,50
1,50,abs_deficit,5332.807570977918,50
1,500,abs_deficit,4381.703470031545,50
1,700,abs_deficit,3132.4921135646687,50
1,900,abs_deficit,3104.10094637224,50
1,1400,abs_deficit,3061.514195583596,50
2,1,abs_deficit,3018.927444794953,50
2,50,abs_deficit,1684.5425867507884,50
2,500,abs_deficit,605.6782334384852,50
2,700,abs_deficit,563.091482649842,50
2,900,abs_deficit,619.8738170347006,50
2,1400,abs_deficit,506.3091482649843,50
3,1,abs_deficit,1031.5457413249214,50
3,50,abs_deficit,917.9810725552043,50
3,500,abs_deficit,662.4605678233438,50
3,700,abs_deficit,634.069400630915,50
3,900,abs_deficit,548.8958990536275,50
3,1400,abs_deficit,406.94006309148244,50
1,1,cg_cost,17334.963325183373,500
1,50,cg_cost,18312.958435207824,500
1,500,cg_cost,25647.921760391197,500
1,700,cg_cost,36650.366748166256,500
1,900,cg_cost,36161.36919315404,500
1,1400,cg_cost,36039.11980440098,500
2,1,cg_cost,50831.295843520784,500
2,50,cg_cost,39339.85330073349,500
2,500,cg_cost,26381.41809290953,500
2,700,cg_cost,26625.916870415647,500
2,900,cg_cost,26503.667481662596,500
2,1400,cg_cost,26503.667481662596,500
3,1,cg_cost,32493.887530562344,500
3,50,cg_cost,31760.39119804401,500
3,500,cg_cost,28948.655256723716,500
3,700,cg_cost,29437.652811735938,500
3,900,cg_cost,28337.408312958436,500
3,1400,cg_cost,25892.420537897313,500
1,1,ba_cost,6687.5,500
1,50,ba_cost,6125.0,500
1,500,ba_cost,9812.5,500
1,700,ba_cost,19000.0,500
1,900,ba_cost,24250.0,500
1,1400,ba_cost,24250.0,500
2,1,ba_cost,11062.5,500
2,50,ba_cost,7187.5,500
2,500,ba_cost,3000.0,500
2,700,ba_cost,3250.0,500
2,900,ba_cost,25000.0,500
2,1400,ba_cost,3000.0,500
3,1,ba_cost,9875.0,500
3,50,ba_cost,8250.0,500
3,500,ba_cost,3437.5,500
3,700,ba_cost,3375.0,500
3,900,ba_cost,3500.0,500
3,1400,ba_cost,22625.0,500
