figure,mg,hour,plot_hour,p_cg,p_ba,unbalanced,cg_error_kw,ba_error_kw,unbalanced_error_kw
6,1,1,0,123.0166270783848,7.953821656050956,-292.0388349514563,0.5,0.15,1.0
6,1,2,1,142.58907363420428,-3.511146496815287,-153.0097087378641,0.5,0.15,1.0
6,1,3,2,138.74109263657957,3.7380573248407645,-97.86407766990291,0.5,0.15,1.0
6,1,4,3,147.90973871733968,-0.9076433121019108,-84.66019417475728,0.5,0.15,1.0
6,1,5,4,120.07125890736341,1.2300955414012738,-99.41747572815534,0.5,0.15,1.0
6,1,6,5,122.54156769596199,-3.4156050955414012,-80.0,0.5,0.15,1.0
6,1,7,6,134.22802850356294,1.4331210191082804,-114.9514563106796,0.5,0.15,1.0
6,1,8,7,121.97149643705464,2.1735668789808917,-147.5728155339806,0.5,0.15,1.0
6,1,9,8,127.76722090261282,-2.7945859872611463,-159.2233009708738,0.5,0.15,1.0
6,1,10,9,142.96912114014253,3.976910828025478,-177.8640776699029,0.5,0.15,1.0
6,1,11,10,137.17339667458432,0.501592356687898,-122.71844660194175,0.5,0.15,1.0
6,1,12,11,137.17339667458432,0.07165605095541401,-142.1359223300971,0.5,0.15,1.0
6,1,13,12,138.6935866983373,2.9856687898089174,-152.23300970873785,0.5,0.15,1.0
6,1,14,13,138.78859857482186,-1.4331210191082804,-108.7378640776699,0.5,0.15,1.0
6,1,15,14,132.70783847980996,0.9912420382165605,-132.03883495145632,0.5,0.15,1.0
6,1,16,15,110.0,-0.16719745222929935,-165.4368932038835,0.5,0.15,1.0
6,1,17,16,132.51781472684087,-0.2627388535031847,-123.49514563106796,0.5,0.15,1.0
6,1,18,17,150.7600950118765,2.6751592356687897,-235.3398058252427,0.5,0.15,1.0
6,1,19,18,126.6270783847981,-0.20302547770700638,-387.5728155339806,0.5,0.15,1.0
6,1,20,19,135.84323040380048,-2.699044585987261,-393.00970873786406,0.5,0.15,1.0
6,1,21,20,140.40380047505937,3.845541401273885,-388.3495145631068,0.5,0.15,1.0
6,1,22,21,155.5581947743468,-3.39171974522293,-340.19417475728153,0.5,0.15,1.0
6,1,23,22,129.19239904988123,0.21496815286624205,-273.3980582524272,0.5,0.15,1.0
6,1,24,23,123.20665083135393,4.10828025477707,-285.04854368932035,0.5,0.15,1.0
7,2,1,0,98.77551020408163,24.94939271255061,12.995780590717299,0.5,0.15,1.0
7,2,2,1,63.42857142857143,0.10121457489878542,-9.282700421940929,0.5,0.15,1.0
7,2,3,2,106.53061224489795,0.15182186234817813,36.45569620253164,0.5,0.15,1.0
7,2,4,3,80.3265306122449,0.15182186234817813,9.11392405063291,0.5,0.15,1.0
7,2,5,4,63.265306122448976,0.05060728744939271,-24.135021097046412,0.5,0.15,1.0
7,2,6,5,110.77551020408163,0.12651821862348178,19.240506329113924,0.5,0.15,1.0
7,2,7,6,134.6122448979592,0.15182186234817813,31.729957805907173,0.5,0.15,1.0
7,2,8,7,125.46938775510205,0.15182186234817813,-8.945147679324894,0.5,0.15,1.0
7,2,9,8,129.6326530612245,0.12651821862348178,-9.957805907172997,0.5,0.15,1.0
7,2,10,9,134.77551020408163,-0.20242914979757085,10.80168776371308,0.5,0.15,1.0
7,2,11,10,97.22448979591837,0.5313765182186234,-14.683544303797468,0.5,0.15,1.0
7,2,12,11,113.95918367346938,0.12651821862348178,16.371308016877638,0.5,0.15,1.0
7,2,13,12,144.0816326530612,0.15182186234817813,32.573839662447256,0.5,0.15,1.0
7,2,14,13,120.57142857142857,0.025303643724696356,27.848101265822788,0.5,0.15,1.0
7,2,15,14,116.6530612244898,0.20242914979757085,14.852320675105485,0.5,0.15,1.0
7,2,16,15,100.16326530612245,0.10121457489878542,-31.89873417721519,0.5,0.15,1.0
7,2,17,16,116.40816326530611,0.15182186234817813,-12.995780590717299,0.5,0.15,1.0
7,2,18,17,116.6530612244898,0.15182186234817813,-18.22784810126582,0.5,0.15,1.0
7,2,19,18,127.51020408163265,0.15182186234817813,-9.78902953586498,0.5,0.15,1.0
7,2,20,19,138.69387755102042,0.12651821862348178,-2.869198312236287,0.5,0.15,1.0
7,2,21,20,133.0612244897959,0.15182186234817813,-4.89451476793249,0.5,0.15,1.0
7,2,22,21,128.16326530612247,0.15182186234817813,1.350210970464135,0.5,0.15,1.0
7,2,23,22,124.48979591836735,0.15182186234817813,11.9831223628692,0.5,0.15,1.0
7,2,24,23,129.14285714285714,0.15182186234817813,51.983122362869196,0.5,0.15,1.0
8,3,1,0,125.66390041493776,24.899799599198396,25.53191489361702,0.5,0.15,1.0
8,3,2,1,134.06639004149378,0.0501002004008016,46.808510638297875,0.5,0.15,1.0
8,3,3,2,129.81327800829877,0.0501002004008016,44.93617021276596,0.5,0.15,1.0
8,3,4,3,122.03319502074689,0.0501002004008016,36.765957446808514,0.5,0.15,1.0
8,3,5,4,139.9792531120332,0.0,37.787234042553195,0.5,0.15,1.0
8,3,6,5,142.9875518672199,0.0,36.25531914893617,0.5,0.15,1.0
8,3,7,6,125.66390041493776,0.0,6.127659574468085,0.5,0.15,1.0
